"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"08.12.2021","22,51","21,08","22,51","20,76","9,38M","6,83%"
"07.12.2021","21,07","19,80","21,13","19,72","7,48M","6,36%"
"06.12.2021","19,81","19,52","19,93","17,23","8,51M","1,69%"
"05.12.2021","19,48","20,65","20,90","18,50","7,46M","-5,94%"
"04.12.2021","20,71","23,29","23,33","15,56","20,78M","-11,15%"
"03.12.2021","23,31","24,56","25,84","22,54","5,72M","-5,05%"
"02.12.2021","24,55","25,33","25,33","24,20","3,91M","-3,16%"
"01.12.2021","25,35","25,31","26,89","24,99","4,64M","0,12%"
"30.11.2021","25,32","24,99","26,51","24,15","5,81M","1,36%"
"29.11.2021","24,98","24,76","25,54","24,57","4,75M","0,69%"
"28.11.2021","24,81","24,08","24,93","22,73","4,55M","2,99%"
"27.11.2021","24,09","23,95","24,94","23,80","3,99M","0,88%"
"26.11.2021","23,88","26,41","26,58","22,94","10,68M","-9,44%"
"25.11.2021","26,37","25,58","27,56","25,39","5,65M","3,01%"
"24.11.2021","25,60","26,96","27,14","25,17","4,97M","-5,01%"
"23.11.2021","26,95","26,77","27,57","26,20","4,65M","0,63%"
"22.11.2021","26,78","29,06","29,06","26,33","4,78M","-7,69%"
"21.11.2021","29,01","28,38","29,25","27,70","3,83M","2,33%"
"20.11.2021","28,35","28,27","28,72","27,27","4,54M","0,35%"
"19.11.2021","28,25","26,54","28,84","26,09","5,01M","6,16%"
"18.11.2021","26,61","29,19","29,68","25,87","7,06M","-8,81%"
"17.11.2021","29,18","29,15","29,73","28,05","5,08M","-0,03%"
"16.11.2021","29,19","32,05","32,05","28,07","10,29M","-8,90%"
"15.11.2021","32,04","33,76","34,50","32,00","4,21M","-5,07%"
"14.11.2021","33,75","34,03","34,41","32,54","2,90M","-0,74%"
"13.11.2021","34,00","34,26","34,58","33,20","3,38M","-0,73%"
"12.11.2021","34,25","34,66","35,45","32,74","6,01M","-1,35%"
"11.11.2021","34,72","34,17","36,91","33,44","7,60M","1,31%"
"10.11.2021","34,27","33,83","38,17","32,09","13,58M","1,39%"
"09.11.2021","33,80","34,43","35,60","33,46","5,46M","-1,89%"
"08.11.2021","34,45","32,34","34,80","32,21","6,27M","6,66%"
"07.11.2021","32,30","32,00","32,58","31,71","2,85M","0,81%"
"06.11.2021","32,04","32,86","33,19","30,76","4,48M","-2,53%"
"05.11.2021","32,87","30,97","33,68","30,67","6,70M","6,00%"
"04.11.2021","31,01","31,97","32,10","30,26","3,78M","-2,97%"
"03.11.2021","31,96","32,30","32,78","30,57","4,91M","-0,87%"
"02.11.2021","32,24","31,67","32,47","31,02","4,64M","1,77%"
"01.11.2021","31,68","30,01","31,85","29,17","4,96M","5,60%"
"31.10.2021","30,00","29,78","30,62","28,69","4,38M","0,84%"
"30.10.2021","29,75","30,98","31,11","29,19","3,77M","-3,75%"
"29.10.2021","30,91","30,19","31,96","29,96","5,40M","2,38%"
"28.10.2021","30,19","28,91","30,83","28,66","7,19M","4,61%"
"27.10.2021","28,86","32,50","33,90","27,96","12,02M","-11,23%"
"26.10.2021","32,51","32,39","33,80","31,32","6,55M","0,25%"
"25.10.2021","32,43","29,75","32,90","29,54","7,43M","9,16%"
"24.10.2021","29,71","31,33","31,52","28,76","5,74M","-5,32%"
"23.10.2021","31,38","28,67","31,44","28,33","8,14M","9,49%"
"22.10.2021","28,66","28,27","30,00","28,13","7,71M","1,42%"
"21.10.2021","28,26","27,49","29,33","27,31","9,71M","2,88%"
"20.10.2021","27,47","25,91","27,63","25,87","4,48M","5,94%"
"19.10.2021","25,93","25,71","26,27","25,38","3,57M","0,89%"
"18.10.2021","25,70","26,56","26,73","25,28","4,42M","-3,17%"
"17.10.2021","26,54","27,23","27,60","25,65","4,59M","-2,53%"
"16.10.2021","27,23","27,02","28,65","26,96","6,22M","0,89%"
"15.10.2021","26,99","26,73","27,36","26,01","7,64M","1,12%"
"14.10.2021","26,69","25,69","27,79","25,39","7,75M","4,01%"
"13.10.2021","25,66","24,62","25,66","24,20","6,21M","4,31%"
"12.10.2021","24,60","25,24","25,24","23,56","5,37M","-2,54%"
"11.10.2021","25,24","25,55","26,73","24,64","4,29M","-1,29%"
"10.10.2021","25,57","27,46","27,48","25,48","3,91M","-6,81%"
