"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"08.12.2021","0,181200","0,176300","0,182000","0,173200","933,16M","2,84%"
"07.12.2021","0,176200","0,177500","0,183200","0,175200","1,07B","-1,07%"
"06.12.2021","0,178100","0,171400","0,180200","0,159200","1,66B","4,09%"
"05.12.2021","0,171100","0,178100","0,180700","0,162200","1,38B","-4,41%"
"04.12.2021","0,179000","0,199800","0,200300","0,133200","5,30B","-10,41%"
"03.12.2021","0,199800","0,209600","0,211700","0,190500","1,01B","-4,63%"
"02.12.2021","0,209500","0,209200","0,223100","0,201500","1,69B","0,10%"
"01.12.2021","0,209300","0,214700","0,218600","0,205900","804,68M","-2,38%"
"30.11.2021","0,214400","0,215000","0,226800","0,212800","1,62B","-0,23%"
"29.11.2021","0,214900","0,207300","0,224600","0,202800","1,86B","3,67%"
"28.11.2021","0,207300","0,205000","0,207300","0,191300","858,79M","1,12%"
"27.11.2021","0,205000","0,201600","0,209200","0,200700","909,17M","2,14%"
"26.11.2021","0,200700","0,221100","0,221500","0,187400","2,30B","-9,06%"
"25.11.2021","0,220700","0,216800","0,228700","0,214100","1,10B","1,66%"
"24.11.2021","0,217100","0,226600","0,229800","0,211400","1,15B","-4,19%"
"23.11.2021","0,226600","0,219300","0,235900","0,213600","1,65B","3,23%"
"22.11.2021","0,219500","0,225800","0,226500","0,216400","715,63M","-2,79%"
"21.11.2021","0,225800","0,233000","0,233400","0,225200","584,40M","-3,05%"
"20.11.2021","0,232900","0,232900","0,235500","0,225200","638,35M","0,00%"
"19.11.2021","0,232900","0,220900","0,236800","0,215800","1,01B","5,29%"
"18.11.2021","0,221200","0,237300","0,241200","0,215300","1,42B","-6,86%"
"17.11.2021","0,237500","0,236400","0,240900","0,229700","1,02B","0,30%"
"16.11.2021","0,236800","0,256700","0,256700","0,224200","1,93B","-7,75%"
"15.11.2021","0,256700","0,262800","0,265200","0,256000","784,75M","-2,28%"
"14.11.2021","0,262700","0,261300","0,271100","0,260300","1,11B","0,54%"
"13.11.2021","0,261300","0,259400","0,262300","0,254400","730,87M","0,69%"
"12.11.2021","0,259500","0,260400","0,268500","0,249800","1,23B","-0,46%"
"11.11.2021","0,260700","0,255000","0,270000","0,253400","1,36B","2,04%"
"10.11.2021","0,255500","0,273700","0,277200","0,235800","2,60B","-6,55%"
"09.11.2021","0,273400","0,281100","0,289900","0,271800","1,86B","-3,05%"
"08.11.2021","0,282000","0,266600","0,296600","0,264600","3,42B","5,94%"
"07.11.2021","0,266200","0,261800","0,269600","0,258600","912,38M","1,76%"
