Datum;Zuletzt;Eröffn.;Hoch;Tief;Vol.;+/- %
08.12.2021;4.375,00;4.308,26;4.383,50;4.282,34;377,89K;1,58%
07.12.2021;4.307,11;4.350,79;4.424,22;4.259,06;420,89K;-1,05%
06.12.2021;4.352,66;4.197,06;4.374,22;3.922,04;726,73K;3,77%
05.12.2021;4.194,60;4.123,56;4.247,57;4.035,80;536,33K;1,86%
04.12.2021;4.118,06;4.213,57;4.237,33;3.561,06;1,11M;-2,36%
03.12.2021;4.217,78;4.512,71;4.646,83;4.045,17;677,86K;-6,54%
02.12.2021;4.512,71;4.583,02;4.630,11;4.437,49;451,88K;-1,53%
01.12.2021;4.582,96;4.630,52;4.778,00;4.524,92;508,22K;-1,04%
30.11.2021;4.631,22;4.442,62;4.748,00;4.348,96;742,65K;4,24%
29.11.2021;4.442,82;4.300,00;4.457,00;4.279,54;406,97K;3,38%
28.11.2021;4.297,52;4.094,97;4.297,52;3.980,00;346,50K;4,98%
27.11.2021;4.093,56;4.041,65;4.182,66;4.028,52;275,44K;1,47%
26.11.2021;4.034,41;4.525,51;4.547,70;3.916,62;720,21K;-10,74%
25.11.2021;4.519,71;4.272,28;4.549,18;4.248,98;445,83K;5,85%
24.11.2021;4.270,00;4.338,75;4.372,80;4.171,89;448,73K;-1,62%
23.11.2021;4.340,45;4.088,03;4.384,72;4.062,19;502,79K;6,21%
22.11.2021;4.086,52;4.263,24;4.311,17;4.026,64;518,63K;-4,26%
21.11.2021;4.268,16;4.412,18;4.422,54;4.246,31;340,07K;-3,17%
20.11.2021;4.408,00;4.294,75;4.434,09;4.206,02;365,23K;2,62%
19.11.2021;4.295,39;3.996,26;4.305,18;3.978,34;420,39K;7,30%
18.11.2021;4.003,13;4.291,23;4.342,67;3.958,35;576,62K;-6,71%
17.11.2021;4.290,99;4.208,75;4.298,72;4.070,81;472,87K;1,96%
16.11.2021;4.208,42;4.562,12;4.562,12;4.111,94;735,80K;-7,77%
15.11.2021;4.563,04;4.634,28;4.770,01;4.544,21;375,48K;-1,36%
14.11.2021;4.625,76;4.644,94;4.692,28;4.514,81;245,31K;-0,41%
13.11.2021;4.644,58;4.669,97;4.704,89;4.585,21;220,73K;-0,45%
12.11.2021;4.665,46;4.718,28;4.807,78;4.512,66;461,58K;-1,17%
11.11.2021;4.720,86;4.625,11;4.778,09;4.578,99;303,77K;1,88%
10.11.2021;4.633,95;4.732,74;4.864,13;4.507,15;553,55K;-2,07%
09.11.2021;4.731,68;4.804,50;4.836,54;4.715,36;311,31K;-1,59%
08.11.2021;4.808,09;4.613,20;4.822,96;4.613,20;391,09K;4,26%
07.11.2021;4.611,73;4.516,46;4.634,35;4.502,38;243,69K;2,09%
06.11.2021;4.517,27;4.473,03;4.526,66;4.330,83;322,09K;0,95%
05.11.2021;4.474,98;4.533,16;4.569,43;4.439,00;305,64K;-1,34%
04.11.2021;4.535,53;4.603,78;4.604,98;4.421,72;368,26K;-1,45%
03.11.2021;4.602,42;4.589,26;4.661,14;4.459,50;448,68K;0,36%
02.11.2021;4.585,74;4.318,80;4.598,12;4.287,86;468,16K;6,13%
01.11.2021;4.320,91;4.288,93;4.377,37;4.158,07;417,62K;0,78%
31.10.2021;4.287,60;4.327,99;4.393,48;4.170,48;413,75K;-0,79%
30.10.2021;4.321,56;4.420,46;4.427,46;4.250,84;340,24K;-2,09%
29.10.2021;4.413,79;4.286,51;4.459,04;4.268,25;559,06K;3,02%
28.10.2021;4.284,51;3.923,58;4.289,44;3.895,91;626,56K;9,25%
27.10.2021;3.921,72;4.130,52;4.300,31;3.914,22;704,44K;-5,04%
26.10.2021;4.129,69;4.225,63;4.292,35;4.098,35;414,49K;-2,15%
25.10.2021;4.220,35;4.084,10;4.235,25;4.069,92;347,43K;3,36%
24.10.2021;4.083,18;4.171,99;4.183,98;3.965,55;350,13K;-2,05%
23.10.2021;4.168,78;3.971,49;4.168,78;3.938,36;326,59K;4,98%
22.10.2021;3.970,90;4.053,34;4.163,97;3.896,17;463,25K;-2,05%
21.10.2021;4.054,15;4.161,79;4.365,70;4.028,35;798,63K;-2,55%
20.10.2021;4.160,21;3.882,65;4.168,40;3.830,31;537,35K;7,31%
19.10.2021;3.876,71;3.745,28;3.884,23;3.733,81;341,28K;3,44%
18.10.2021;3.747,62;3.849,34;3.892,36;3.685,35;401,93K;-2,52%
17.10.2021;3.844,63;3.829,47;3.917,62;3.666,11;368,80K;0,43%
16.10.2021;3.828,25;3.872,68;3.967,73;3.804,46;373,76K;-1,05%
15.10.2021;3.868,99;3.790,95;3.906,54;3.735,10;504,33K;2,08%
14.10.2021;3.790,18;3.609,00;3.819,81;3.588,20;481,88K;5,07%
13.10.2021;3.607,21;3.490,76;3.611,83;3.415,45;393,40K;3,39%
12.10.2021;3.489,00;3.541,35;3.544,88;3.404,64;409,44K;-1,58%
11.10.2021;3.545,08;3.413,29;3.622,89;3.382,58;493,49K;3,82%
10.10.2021;3.414,72;3.573,89;3.599,23;3.409,25;580,26K;-4,46%
09.10.2021;3.574,23;3.564,99;3.630,33;3.542,00;361,87K;0,42%
08.10.2021;3.559,24;3.586,69;3.668,14;3.537,94;403,54K;-0,77%
07.10.2021;3.586,93;3.575,39;3.649,64;3.473,54;486,11K;0,32%
06.10.2021;3.575,58;3.514,94;3.627,08;3.345,56;618,23K;1,64%
05.10.2021;3.517,82;3.386,15;3.540,83;3.364,83;393,90K;3,98%
04.10.2021;3.383,17;3.417,06;3.436,13;3.272,33;485,18K;-0,97%
03.10.2021;3.416,18;3.390,74;3.485,00;3.347,32;360,64K;0,82%
02.10.2021;3.388,26;3.310,94;3.468,30;3.258,28;422,51K;2,38%
01.10.2021;3.309,58;2.998,46;3.328,74;2.972,91;648,73K;10,32%
30.09.2021;2.999,86;2.849,34;3.047,00;2.837,55;506,99K;5,19%
29.09.2021;2.851,72;2.803,84;2.949,06;2.785,64;411,25K;1,57%
28.09.2021;2.807,67;2.920,35;2.969,01;2.791,10;511,61K;-4,04%
27.09.2021;2.926,02;3.057,50;3.164,20;2.926,02;510,07K;-4,48%
26.09.2021;3.063,32;2.923,34;3.113,37;2.739,59;703,59K;4,84%
25.09.2021;2.921,91;2.928,56;2.965,49;2.809,42;491,98K;-0,22%
24.09.2021;2.928,24;3.152,02;3.157,89;2.740,03;932,09K;-7,12%
23.09.2021;3.152,67;3.076,23;3.173,14;3.035,15;459,46K;2,43%
22.09.2021;3.077,76;2.769,40;3.087,92;2.740,58;677,62K;11,31%
21.09.2021;2.765,14;2.978,16;3.100,93;2.662,50;971,49K;-7,08%
20.09.2021;2.975,90;3.334,06;3.343,83;2.933,47;917,82K;-10,59%
19.09.2021;3.328,23;3.435,60;3.455,36;3.281,91;312,95K;-3,14%
18.09.2021;3.436,22;3.401,18;3.539,57;3.371,10;315,12K;1,11%
17.09.2021;3.398,38;3.567,89;3.593,31;3.352,78;398,88K;-4,75%
16.09.2021;3.567,68;3.614,51;3.672,93;3.488,03;468,16K;-1,21%
15.09.2021;3.611,32;3.433,88;3.611,32;3.360,48;428,77K;5,26%
14.09.2021;3.430,91;3.285,83;3.430,91;3.270,69;373,34K;4,44%
13.09.2021;3.285,09;3.401,16;3.428,87;3.117,75;647,87K;-3,60%
12.09.2021;3.407,90;3.261,32;3.471,71;3.231,40;408,86K;4,30%
11.09.2021;3.267,27;3.211,33;3.345,00;3.202,83;413,63K;1,76%
10.09.2021;3.210,63;3.421,42;3.512,49;3.155,60;633,01K;-6,20%
09.09.2021;3.422,99;3.497,93;3.564,31;3.395,09;628,54K;-2,18%
08.09.2021;3.499,27;3.436,28;3.558,99;3.215,32;780,72K;2,25%
07.09.2021;3.422,38;3.926,66;3.945,67;3.029,27;1,20M;-12,86%
06.09.2021;3.927,43;3.950,29;3.968,00;3.866,73;397,78K;-0,59%
05.09.2021;3.950,91;3.886,77;3.979,00;3.835,01;365,75K;1,70%
04.09.2021;3.885,00;3.938,54;3.968,68;3.832,52;364,58K;-1,27%
03.09.2021;3.934,83;3.785,63;4.025,06;3.716,75;655,82K;3,93%
02.09.2021;3.786,14;3.826,43;3.833,42;3.722,78;525,42K;-1,30%
01.09.2021;3.835,96;3.424,29;3.840,00;3.384,89;845,43K;11,85%
31.08.2021;3.429,45;3.229,05;3.468,60;3.191,48;863,10K;6,22%
30.08.2021;3.228,54;3.223,36;3.346,21;3.145,69;625,34K;0,21%
29.08.2021;3.221,81;3.244,64;3.281,27;3.156,24;335,83K;-0,68%
28.08.2021;3.244,01;3.273,88;3.284,73;3.212,53;262,35K;-0,90%
27.08.2021;3.273,57;3.095,81;3.279,99;3.061,79;451,38K;5,86%
26.08.2021;3.092,48;3.227,26;3.249,50;3.055,01;441,86K;-4,21%
25.08.2021;3.228,40;3.170,02;3.247,63;3.080,42;483,75K;1,73%
24.08.2021;3.173,35;3.324,58;3.357,83;3.150,40;540,54K;-4,50%
23.08.2021;3.323,05;3.232,53;3.375,02;3.231,63;602,09K;2,62%
22.08.2021;3.238,08;3.224,07;3.271,96;3.128,01;406,49K;0,44%
21.08.2021;3.223,91;3.285,12;3.307,33;3.200,19;421,17K;-1,82%
20.08.2021;3.283,51;3.182,60;3.299,87;3.176,85;19,54K;3,17%
19.08.2021;3.182,59;3.016,58;3.187,21;2.960,64;36,29K;5,54%
18.08.2021;3.015,62;3.011,54;3.123,48;2.951,66;42,91K;0,11%
17.08.2021;3.012,34;3.146,81;3.290,36;2.993,10;44,72K;-4,27%
16.08.2021;3.146,57;3.308,16;3.334,21;3.134,38;29,12K;-4,89%
15.08.2021;3.308,41;3.264,15;3.319,27;3.112,92;27,73K;1,35%
14.08.2021;3.264,44;3.321,78;3.329,95;3.206,12;24,14K;-1,73%
13.08.2021;3.321,78;3.047,01;3.325,25;3.034,71;26,72K;9,02%
12.08.2021;3.047,01;3.161,85;3.237,89;2.980,41;36,06K;-3,66%
11.08.2021;3.162,71;3.139,69;3.273,26;3.121,62;25,96K;0,74%
10.08.2021;3.139,33;3.161,37;3.230,45;3.053,51;29,07K;-0,72%
09.08.2021;3.162,05;3.011,23;3.185,37;2.895,64;34,54K;4,92%
08.08.2021;3.013,69;3.159,32;3.188,54;2.950,07;31,46K;-4,61%
07.08.2021;3.159,39;2.891,41;3.169,51;2.865,78;30,26K;9,30%
