"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"08.12.2021","0,00003712","0,00003623","0,00003724","0,00003585","3.228,29B","2,40%"
"07.12.2021","0,00003625","0,00003678","0,00003873","0,00003566","4.333,08B","-1,60%"
"06.12.2021","0,00003684","0,00003621","0,00003757","0,00003286","5.963,67B","1,88%"
"05.12.2021","0,00003616","0,00003641","0,00003827","0,00003428","5.976,64B","-0,99%"
"04.12.2021","0,00003652","0,00004038","0,00004048","0,00003000","9.118,39B","-9,72%"
"03.12.2021","0,00004045","0,00004219","0,00004485","0,00003896","4.804,47B","-4,12%"
"02.12.2021","0,00004219","0,00004411","0,00004422","0,00004121","3.856,98B","-4,35%"
"01.12.2021","0,00004411","0,00004746","0,00004870","0,00004353","5.340,27B","-6,74%"
"30.11.2021","0,00004730","0,00004524","0,00005415","0,00004344","12.073,75B","4,65%"
"29.11.2021","0,00004520","0,00003911","0,00004569","0,00003842","5.250,73B","15,57%"
"28.11.2021","0,00003911","0,00003917","0,00003952","0,00003635","4.873,76B","-0,36%"
"27.11.2021","0,00003925","0,00003863","0,00004165","0,00003819","4.772,57B","1,55%"
"26.11.2021","0,00003865","0,00004270","0,00004280","0,00003570","9.230,27B","-9,42%"
"25.11.2021","0,00004267","0,00003784","0,00004785","0,00003769","9.989,19B","12,79%"
"24.11.2021","0,00003783","0,00004189","0,00004282","0,00003600","5.383,75B","-9,74%"
"23.11.2021","0,00004191","0,00004324","0,00004448","0,00004111","3.022,84B","-3,05%"
"22.11.2021","0,00004323","0,00004412","0,00004617","0,00004273","2.878,51B","-1,86%"
"21.11.2021","0,00004405","0,00004765","0,00004773","0,00004372","2.652,65B","-7,57%"
"20.11.2021","0,00004766","0,00004850","0,00004995","0,00004569","3.696,62B","-1,77%"
"19.11.2021","0,00004852","0,00004253","0,00005208","0,00004184","6.283,08B","14,14%"
"18.11.2021","0,00004251","0,00004814","0,00004899","0,00004057","5.253,11B","-11,70%"
"17.11.2021","0,00004814","0,00004830","0,00004985","0,00004676","3.004,72B","-0,56%"
"16.11.2021","0,00004841","0,00005345","0,00005349","0,00004527","6.436,39B","-9,34%"
"15.11.2021","0,00005340","0,00005316","0,00005593","0,00005232","2.675,14B","0,49%"
"14.11.2021","0,00005314","0,00005166","0,00005625","0,00005156","2.634,89B","2,86%"
"13.11.2021","0,00005166","0,00005236","0,00005281","0,00005077","2.030,67B","-1,41%"
"12.11.2021","0,00005240","0,00005657","0,00005694","0,00005135","3.712,42B","-7,45%"
"11.11.2021","0,00005662","0,00005026","0,00005791","0,00004845","6.920,15B","12,43%"
"10.11.2021","0,00005036","0,00005484","0,00005517","0,00004602","4.584,79B","-8,15%"
"09.11.2021","0,00005483","0,00005516","0,00005841","0,00005337","3.158,83B","-0,60%"
"08.11.2021","0,00005516","0,00005688","0,00005898","0,00005282","5.123,55B","-3,08%"
"07.11.2021","0,00005691","0,00005859","0,00005956","0,00005584","3.888,50B","-2,87%"
"06.11.2021","0,00005859","0,00006258","0,00006302","0,00005494","7.435,73B","-6,35%"
"05.11.2021","0,00006256","0,00004933","0,00006540","0,00004542","14.072,12B","26,64%"
"04.11.2021","0,00004940","0,00005551","0,00006093","0,00004316","13.656,61B","-10,30%"
"03.11.2021","0,00005507","0,00006916","0,00006916","0,00005287","5.609,57B","-20,04%"
"02.11.2021","0,00006887","0,00007150","0,00007289","0,00006652","3.039,49B","-3,85%"
"01.11.2021","0,00007163","0,00006701","0,00007485","0,00006581","5.687,06B","6,93%"
"31.10.2021","0,00006699","0,00006532","0,00006949","0,00005821","6.943,18B","2,40%"
"30.10.2021","0,00006542","0,00007479","0,00007792","0,00006156","6.662,62B","-12,61%"
"29.10.2021","0,00007486","0,00006891","0,00007740","0,00006096","10.565,23B","8,65%"
"28.10.2021","0,00006890","0,00007910","0,00008846","0,00005713","25.894,98B","-13,36%"
"27.10.2021","0,00007952","0,00004794","0,00008715","0,00004692","29.235,94B","66,22%"
"26.10.2021","0,00004784","0,00004228","0,00004962","0,00004055","9.579,33B","13,18%"
"25.10.2021","0,00004227","0,00003601","0,00004361","0,00003506","7.877,21B","17,55%"
"24.10.2021","0,00003596","0,00003385","0,00004441","0,00003355","19.793,98B","6,17%"
"23.10.2021","0,00003387","0,00002793","0,00003452","0,00002766","5.930,55B","21,27%"
"22.10.2021","0,00002793","0,00002747","0,00002847","0,00002702","1.608,73B","1,64%"
"21.10.2021","0,00002748","0,00002922","0,00002922","0,00002703","1.846,26B","-6,08%"
"20.10.2021","0,00002926","0,00002800","0,00002951","0,00002729","2.154,24B","4,46%"
"19.10.2021","0,00002801","0,00002863","0,00002916","0,00002753","2.014,42B","-2,23%"
"18.10.2021","0,00002865","0,00002774","0,00002952","0,00002642","6.248,06B","3,28%"
"17.10.2021","0,00002774","0,00002570","0,00002895","0,00002376","3.755,28B","7,98%"
"16.10.2021","0,00002569","0,00002524","0,00002654","0,00002474","3.251,85B","1,66%"
"15.10.2021","0,00002527","0,00002741","0,00002749","0,00002340","7.330,87B","-7,84%"
"14.10.2021","0,00002742","0,00002908","0,00002981","0,00002651","4.321,05B","-5,71%"
"13.10.2021","0,00002908","0,00002905","0,00003068","0,00002776","5.053,59B","0,10%"
"12.10.2021","0,00002905","0,00003065","0,00003156","0,00002740","7.053,67B","-5,22%"
"11.10.2021","0,00003065","0,00002613","0,00003198","0,00002589","11.475,67B","17,21%"
"10.10.2021","0,00002615","0,00002670","0,00002779","0,00002509","6.658,53B","-1,99%"
"09.10.2021","0,00002668","0,00002726","0,00003009","0,00002443","13.891,17B","-2,06%"
"08.10.2021","0,00002724","0,00002291","0,00002942","0,00002061","28.325,66B","19,21%"
"07.10.2021","0,00002285","0,00002787","0,00003503","0,00002067","49.125,29B","-17,92%"
"06.10.2021","0,00002784","0,00001732","0,00002886","0,00001663","40.046,98B","60,46%"
"05.10.2021","0,00001735","0,00001351","0,00002000","0,00001213","42.379,62B","28,71%"
"04.10.2021","0,00001348","0,00000854","0,00001486","0,00000821","28.474,63B","57,85%"
"03.10.2021","0,00000854","0,00000787","0,00000901","0,00000766","4.425,46B","8,24%"
"02.10.2021","0,00000789","0,00000769","0,00000823","0,00000742","2.128,11B","2,60%"
"01.10.2021","0,00000769","0,00000720","0,00000778","0,00000716","1.613,08B","6,81%"
"30.09.2021","0,00000720","0,00000701","0,00000742","0,00000700","1.397,98B","2,71%"
"29.09.2021","0,00000701","0,00000697","0,00000715","0,00000692","889,78B","0,57%"
