Datum;Zuletzt;Eröffn.;Hoch;Tief;Vol.;+/- %
08.12.2021;190,64;190,21;193,33;186,26;1,72M;0,28%
07.12.2021;190,1;193,52;203,94;187,84;1,94M;-2,01%
06.12.2021;193,99;196,63;197,55;176,51;2,82M;-1,15%
05.12.2021;196,25;201,01;204,17;182,11;2,48M;-2,42%
04.12.2021;201,11;211,67;212,51;170,9;4,89M;-5,14%
03.12.2021;212,01;233,61;239,33;205,38;2,87M;-9,29%
02.12.2021;233,72;229,84;242,97;220,11;3,04M;1,71%
01.12.2021;229,78;208,52;232,45;208,01;2,59M;10,31%
30.11.2021;208,3;204,06;218,08;199,7;2,18M;2,06%
29.11.2021;204,1;200,7;212,67;199,72;1,46M;1,64%
28.11.2021;200,81;192,55;201,76;181,32;1,56M;4,04%
27.11.2021;193,01;192,45;199,34;190,77;1,03M;0,56%
26.11.2021;191,93;210,19;210,33;183,07;2,77M;-8,55%
25.11.2021;209,88;205,67;216,28;201,97;1,76M;1,93%
24.11.2021;205,91;221,93;222,36;200,27;1,88M;-7,16%
23.11.2021;221,79;215,61;225,98;211,22;1,65M;2,74%
22.11.2021;215,87;230,85;231,87;211,91;2,46M;-6,88%
21.11.2021;231,82;217,96;235,26;210,66;1,89M;6,44%
20.11.2021;217,8;215,25;221,09;206,03;1,56M;1,20%
19.11.2021;215,21;195,5;219,48;189,61;2,71M;10,36%
18.11.2021;195;218,9;222,7;187,38;3,08M;-10,92%
17.11.2021;218,91;219,13;221,9;210,1;2,10M;-0,02%
16.11.2021;218,95;237,65;237,65;214,79;2,56M;-8,09%
15.11.2021;238,21;238,86;246,16;234,53;1,92M;-0,19%
14.11.2021;238,66;241,57;241,86;230,5;1,08M;-1,23%
13.11.2021;241,62;228,55;241,86;225,05;1,46M;5,71%
12.11.2021;228,56;233,12;239,03;220,94;2,12M;-2,12%
11.11.2021;233,51;233,07;246,4;229,53;2,00M;-0,06%
10.11.2021;233,64;239,23;247,92;217,85;3,09M;-2,26%
09.11.2021;239,04;248,28;253,15;237,86;2,22M;-3,76%
08.11.2021;248,39;249,84;253,24;240,77;2,30M;-0,48%
07.11.2021;249,6;258,44;258,49;245,67;1,92M;-3,39%
06.11.2021;258,35;236,03;259,8;234,81;3,05M;9,46%
05.11.2021;236,03;247,22;248,24;230,49;2,23M;-4,48%
04.11.2021;247,1;243,21;250,08;235,05;3,55M;1,68%
03.11.2021;243,01;220,67;246,16;215,99;5,25M;10,29%
02.11.2021;220,34;203,96;222,14;201,12;2,88M;8,33%
01.11.2021;203,39;203,07;211,41;198,1;3,15M;0,42%
31.10.2021;202,53;195,7;204,89;185,72;2,38M;3,47%
30.10.2021;195,74;200,42;200,53;187,52;1,61M;-2,22%
29.10.2021;200,18;195,48;204,94;194,66;2,49M;2,79%
28.10.2021;194,74;184,48;201,36;181,92;3,50M;5,62%
27.10.2021;184,38;199,86;205,43;177,24;5,00M;-7,68%
26.10.2021;199,71;209,76;213,94;196,69;3,17M;-4,79%
25.10.2021;209,76;202,24;218,93;198,18;4,91M;3,63%
24.10.2021;202,42;197,76;204,76;185,37;3,57M;2,35%
23.10.2021;197,77;196,29;205,7;192,55;3,27M;0,83%
22.10.2021;196,15;190,77;215;188,1;8,36M;3,01%
21.10.2021;190,41;176,96;193,74;176,96;7,85M;7,70%
20.10.2021;176,79;155,79;176,79;155,23;3,88M;13,43%
19.10.2021;155,86;157,13;159,39;153,13;1,82M;-0,86%
18.10.2021;157,21;160,27;162,91;155,02;2,24M;-1,79%
17.10.2021;160,08;157,52;167,49;153,24;3,07M;1,73%
16.10.2021;157,35;163,42;164,71;156,72;1,99M;-3,56%
15.10.2021;163,15;149,86;165,38;146,99;5,39M;8,75%
14.10.2021;150,02;148,05;155,5;147,27;2,65M;1,26%
13.10.2021;148,15;152,25;155,37;144,41;2,76M;-2,88%
12.10.2021;152,54;144,82;153,34;137,73;3,38M;5,30%
11.10.2021;144,86;147,53;153,98;140,46;2,21M;-1,94%
10.10.2021;147,73;156,8;158,47;145,94;2,04M;-5,75%
09.10.2021;156,75;158,81;161,35;154,7;1,83M;-1,13%
08.10.2021;158,54;154,22;168,71;152,59;3,73M;2,85%
07.10.2021;154,15;153,7;161,12;150,48;3,25M;0,18%
06.10.2021;153,88;164,72;165,34;150,25;4,50M;-6,51%
05.10.2021;164,59;167,17;170,1;160,18;3,38M;-1,50%
04.10.2021;167,1;172,77;172,9;162,6;4,31M;-3,40%
03.10.2021;172,98;168,99;177,21;165,86;4,23M;2,31%
02.10.2021;169,08;161,55;174,84;156,17;5,06M;4,64%
01.10.2021;161,58;141,36;164,83;138,38;6,74M;14,30%
30.09.2021;141,37;135,32;142,83;134,12;3,36M;4,49%
29.09.2021;135,29;132,2;140,01;131,22;3,69M;2,48%
28.09.2021;132,02;136,17;139,37;128,21;3,90M;-3,18%
27.09.2021;136,36;135,59;148,75;133,76;5,20M;0,45%
26.09.2021;135,75;136,03;140,61;124,97;4,34M;-0,23%
25.09.2021;136,06;139,16;143,92;133,6;3,21M;-2,29%
24.09.2021;139,25;149,9;150,93;128,51;6,71M;-7,11%
23.09.2021;149,91;148;152,26;143,09;5,19M;1,36%
22.09.2021;147,9;124,61;151,06;122,31;7,46M;19,46%
21.09.2021;123,81;132,74;144,45;116,2;9,61M;-6,57%
20.09.2021;132,51;152,98;153,25;131,12;10,15M;-13,23%
19.09.2021;152,71;168,44;170,81;150,92;4,95M;-9,77%
18.09.2021;169,24;147,6;171,28;144,23;8,23M;14,83%
17.09.2021;147,38;152,59;153,29;134,99;7,63M;-3,22%
16.09.2021;152,29;158,89;163,03;147,51;4,74M;-4,05%
15.09.2021;158,72;158,65;166,24;154,06;6,11M;0,18%
14.09.2021;158,44;169,07;171,65;143,69;7,98M;-6,60%
13.09.2021;169,63;174,22;174,96;150,64;8,42M;-2,80%
12.09.2021;174,52;179,07;181,45;170,28;3,66M;-2,56%
11.09.2021;179,1;179,74;193,27;175,51;6,80M;-0,09%
10.09.2021;179,27;187,9;196,99;168,65;9,06M;-4,52%
09.09.2021;187,76;190,9;215,19;181;16,35M;-1,65%
