date,src,dst,cluster_src,mes_sent,mes_received,mes_total,contr_index,sentiment_avg,emoti_avg,compl_avg,neighbours,cluster_dst,cluster_equal,neighbours_!cluster,neighbours_cluster
2021-11-07,btc_jacksparrow,teaching_crypto,C7,0,3,3,-1.0,,,,21,C2,False,10,11
2021-12-12,ankit_patwa16,sailorsmoon,C2,1,0,1,1.0,,,,1,C2,True,0,1
2021-10-31,ali57136739,rezzak8585,C7,0,1,1,-1.0,,,,5,C7,True,0,5
2021-12-12,tatianita75020,dezaxe,C7,3,0,3,1.0,0.6884438594182333,0.178932656844457,9.064178466796877,50,C7,True,1,49
2021-12-12,musiclsw,[twitter_query=sol],C7,2,2,4,0.0,0.4681583493947983,0.2431385517120361,6.9112770557403564,3,C7,True,0,3
2021-12-26,luciarecalde02,m_torrell,C3,2,0,2,1.0,0.7103365659713745,0.2112545445561409,8.7005295753479,4,C9,False,2,2
2021-12-21,leoluna718ny,dogecoinpoet,C7,1,0,1,1.0,0.956787407398224,0.2876646816730499,4.400040626525879,3,C7,True,0,3
2021-12-05,qanda7272,mexc_global,C7,1,0,1,1.0,0.6553332209587097,0.152227833867073,5.808291912078857,4,C7,True,0,4
2021-11-11,realdivineape,shibplz_matthew,C5,1,0,1,1.0,0.5513418316841125,0.1231440529227256,6.633909702301025,4,C0,False,2,2
2021-12-05,ockavelli1,moneymadi,C8,1,1,2,0.0,0.5679531097412109,0.2018994390964508,3.792200088500977,1,C8,True,0,1
2021-10-31,sirkeciistanbul,asimkevser1,C7,1,0,1,1.0,0.8923822641372681,0.1634806841611862,5.6269402503967285,4,C2,False,2,2
2021-10-31,alomoses3,[twitter_query=sol],C7,1,1,2,0.0,0.90305495262146,0.2233305871486663,5.8356804847717285,15,C7,True,2,13
2021-12-12,cryptobri_,maupunyaanak5,C7,0,1,1,-1.0,,,,342,C7,True,0,342
2021-11-29,[twitter_query=sol],yyolcu001,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-11-07,boslukariyorgs,the_islek,C3,0,1,1,-1.0,,,,4,C9,False,2,2
2021-11-29,shamsi1188,aja71700,C7,0,1,1,-1.0,,,,4,C7,True,0,4
2021-11-07,erycakir19,cmedallist,C2,0,1,1,-1.0,,,,6,C2,True,2,4
2021-11-28,1990bahadin,coinmarketcal,C7,1,0,1,1.0,0.9828802943229676,0.2969213426113128,4.806378364562988,1,C7,True,0,1
2021-11-07,shibbpp,shibainu4114,C7,0,2,2,-1.0,,,,138,C7,True,5,133
2021-12-05,ledonj51,sydney_screams,C8,1,0,1,1.0,0.9365602135658264,0.2732109725475311,5.207097053527832,4,C0,False,2,2
2021-12-20,name740638,ashwsbreal,C7,1,0,1,1.0,0.4872857928276062,0.4190815091133117,5.956729888916016,1,C7,True,0,1
2021-10-31,goat_solnft,ivanguz05051474,C7,0,1,1,-1.0,,,,7,C7,True,2,5
2021-11-07,sza,iamluv_eth,C6,0,1,1,-1.0,,,,1,C6,True,0,1
2021-11-28,daddylongleg59,marshag60471591,C7,1,0,1,1.0,0.3115710616111755,0.2392121255397796,5.644340515136719,7,C7,True,0,7
2021-11-07,grupbokeptele2,tantealiya,C0,1,0,1,1.0,,,,15,C0,True,0,15
2021-11-07,abdoel_azis_,ejykeija,C0,0,1,1,-1.0,,,,4,C5,False,2,2
2021-12-12,ivan82486390,saitamasavage,C7,1,0,1,1.0,0.5412843823432922,0.082568809390068,12.81304168701172,5,C7,True,0,5
2021-12-26,biggreen,thomas201818,C6,0,1,1,-1.0,,,,1,C6,True,0,1
2021-11-07,candice29181941,curvynaturegirl,C6,0,1,1,-1.0,,,,6,C6,True,0,6
2021-10-31,inusaitama,odenefarious,C7,0,1,1,-1.0,,,,194,C7,True,2,192
2021-11-07,romyo_net,mnpronet,C7,1,0,1,1.0,,,,4,C7,True,2,2
2021-12-20,jfqf6bpqndocnkn,cryptofxking,C7,1,0,1,1.0,,,,2,C7,True,0,2
2021-12-05,worldwidevvs,fili30743155,C7,0,1,1,-1.0,,,,3,C7,True,0,3
2021-12-05,akbarth3great,ztsecure,C7,0,2,2,-1.0,,,,32,C7,True,0,32
2021-12-12,[twitter_query=sol],emranho93949280,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-12-05,derejegerefa,mel_ta52,C6,0,1,1,-1.0,,,,2,C2,False,1,1
2021-12-21,shibaneo_crypto,vivian_20100,C7,0,1,1,-1.0,,,,4,C7,True,0,4
2021-11-29,ekpo_trust,lewisjah01,C0,1,1,2,0.0,0.1235735565423965,0.175913006067276,5.746748924255371,8,C5,False,4,4
2021-11-29,andresrolon86,bellenzier_gill,C9,0,1,1,-1.0,,,,2,C9,True,0,2
2021-11-07,holikpc,nearmesaber,C3,0,1,1,-1.0,,,,1,C3,True,0,1
2021-11-14,[twitter_query=sol],coliveira1997,C7,2,2,4,0.0,,,,7750,C7,True,452,7298
2021-12-26,akinpade_taiwo,ebunoluwa736,C7,1,0,1,1.0,0.9323968291282654,0.3293275535106659,6.365616321563721,8,C7,True,2,6
