date,src,dst,cluster_src,mes_sent,mes_received,mes_total,contr_index,sentiment_avg,emoti_avg,compl_avg,neighbours,cluster_dst,cluster_equal,neighbours_!cluster,neighbours_cluster
2021-12-12,acstforever,teaching_crypto,C7,1,0,1,1.0,0.5559373497962952,0.1256917268037796,5.379940032958984,4,C7,True,2,2
2021-11-07,invilla4,exy_669,C9,1,0,1,1.0,0.554987370967865,0.1099746823310852,7.613481044769287,4,C9,True,2,2
2021-12-26,lanaimperatrice,jack_concours,C7,1,0,1,1.0,0.4786175787448883,0.3143947720527649,9.875304222106934,1,C7,True,0,1
2021-12-12,kriptoholder,balyalisemra,C7,0,1,1,-1.0,,,,40,C7,True,0,40
2021-11-28,tvqbtc,chimp_bunker,C2,1,0,1,1.0,,,,3,C2,True,0,3
2021-12-05,bengeo260,1939xxx,C0,1,0,1,1.0,0.911712884902954,0.2887555658817291,6.357192993164063,15,C0,True,7,8
2021-11-23,mrivadinata,perceval656,C7,0,1,1,-1.0,,,,1,C7,True,0,1
2021-11-07,cardanofeed,beljawski,C7,0,1,1,-1.0,,,,19,C7,True,2,17
2021-11-07,malikhaze88,eloso_95,C7,0,1,1,-1.0,,,,1,C7,True,0,1
2021-12-05,jisungol,wonyouu,C9,1,0,1,1.0,0.6456560492515564,0.148896038532257,6.264550685882568,4,C9,True,2,2
2021-10-31,rapridan,faishalhamdanii,C5,1,0,1,1.0,0.4213829934597015,0.0822115615010261,5.050014972686768,6,C5,True,2,4
2021-12-05,kriptozevahir,babytigerk_ger,C7,0,1,1,-1.0,,,,1,C7,True,0,1
2021-12-12,songbirdcomm,xrp4uandme,C6,0,1,1,-1.0,,,,2,C6,True,0,2
2021-11-14,rahman118,cryptosaab,C0,0,1,1,-1.0,,,,1,C0,True,0,1
2021-12-21,firstbloodio,riflex97653727,C0,0,1,1,-1.0,,,,4,C0,True,0,4
2021-12-26,guppy93allan,genalchemylab,C7,1,0,1,1.0,0.850304901599884,0.7006098031997681,7.871989727020264,4,C7,True,1,3
2021-11-07,gabrielchibest4,godsdennis1,C3,0,2,2,-1.0,,,,4,C7,False,2,2
2021-11-29,htinuhog,sol_nfl_player,C7,1,0,1,1.0,0.7408003807067871,0.2039607465267181,4.619511127471924,8,C2,False,2,6
2021-10-31,athanasiatrian1,sol_mariesol,C7,1,1,2,0.0,0.6456560492515564,0.148896038532257,6.264550685882568,76,C7,True,0,76
2021-12-21,[twitter_query=sol],ywsjk,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-12-05,varillastrainer,jmc1905,C9,0,1,1,-1.0,,,,4,C9,True,2,2
2021-11-07,cryptosusd,[twitter_query=sol],C7,1,1,2,0.0,0.7576363682746887,0.1681253761053085,5.766667366027832,10,C7,True,0,10
2021-12-05,iampetu_,themodestone08,C3,0,1,1,-1.0,,,,2,C9,False,1,1
2021-11-07,negosapanda,oficialzc,C8,1,0,1,1.0,0.9659770131111144,0.2327886074781417,8.451376914978027,4,C8,True,2,2
2021-12-12,niamyahhh,[twitter_query=sol],C7,1,1,2,0.0,0.7255335450172424,0.2170633673667907,5.0765533447265625,2,C7,True,0,2
2021-10-31,realakamaruinu,kari_xoxo3,C7,0,1,1,-1.0,,,,509,C7,True,1,508
2021-12-21,sophienft,womenspridenfts,C7,0,1,1,-1.0,,,,4,C7,True,0,4
2021-12-05,rkhointarachot,arpong007,C2,1,0,1,1.0,,,,3,C2,True,0,3
2021-12-26,shashki,gavingeddes7,C0,1,1,2,0.0,0.8865252137184143,0.2041407227516174,5.050300121307373,1,C0,True,0,1
2021-12-26,squidmooncoin,dode416,C6,0,1,1,-1.0,,,,1,C6,True,0,1
2021-12-05,ombhamu3,nageshp42514874,C7,0,1,1,-1.0,,,,2,C7,True,0,2
2021-11-28,safemooninu,spinerazor1,C7,0,1,1,-1.0,,,,10,C7,True,0,10
2021-10-31,ifeoluw41131575,solgoat_finance,C7,3,0,3,1.0,0.3421146261195342,0.2523350268602371,7.59717321395874,4,C7,True,0,4
2021-11-28,misstycrypto,babydogecoin,C7,26,0,26,1.0,0.5731403740495443,0.2225001847743988,6.572735958099365,9,C7,True,0,9
2021-11-29,nostratonky,hm0429,C2,1,0,1,1.0,,,,1,C2,True,0,1
2021-12-21,realproflorian1,inukings,C7,2,0,2,1.0,0.8376665115356445,0.1376138925552368,5.962377071380615,4,C7,True,0,4
2021-11-28,cityxxxxxxxx,technofloki,C7,1,0,1,1.0,0.7304248213768005,0.1406655311584472,5.597183704376221,10,C7,True,0,10
2021-11-29,serkanarikan06,ye_jaemcityx,C7,0,1,1,-1.0,,,,206,C7,True,4,202
2021-11-29,jjkooksgcf,bigoneexchange,C7,1,0,1,1.0,0.4702075719833374,0.059584867209196,3.536840915679932,2,C7,True,0,2
2021-12-26,suneco_btc,rx78nt1alex1,C7,0,1,1,-1.0,,,,22,C2,False,6,16
2021-10-31,bigboiotter,stopbeingadumb2,C6,0,1,1,-1.0,,,,1,C6,True,0,1
2021-12-21,bitcoindd03,cats_saga_nft,C7,1,0,1,1.0,0.8627308011054993,0.3390037715435028,6.751757621765137,8,C7,True,0,8
2021-12-05,cryptoboer1,zenzectothemoon,C7,0,1,1,-1.0,,,,1,C7,True,0,1
2021-11-07,niniachef,sol_chilango,C0,0,1,1,-1.0,,,,2,C0,True,1,1
2021-10-31,mehmetm62866912,kriptozenciii,C7,1,0,1,1.0,0.8109180331230164,0.1695784330368042,9.499067306518556,1,C7,True,0,1
2021-11-14,moonpayeth,joggele7,C7,0,1,1,-1.0,,,,67,C7,True,2,65
2021-10-31,emmywalka,cryptoknaya,C7,1,0,1,1.0,0.6309847831726074,0.2619695961475372,4.012101650238037,9,C7,True,0,9
2021-12-05,bisoobu,elohohannah,C9,1,0,1,1.0,0.6962647438049316,0.1383248418569564,8.594998359680176,18,C0,False,9,9
2021-10-31,syahdan1968,shibainucoinuk,C0,2,0,2,1.0,0.5826982259750366,0.0948877893388271,6.046929001808167,5,C5,False,2,3
2021-11-29,asriepr,yourmajaesty,C0,1,0,1,1.0,0.885046124458313,0.397287517786026,7.451510429382324,1,C0,True,0,1
2021-12-05,yasirja70698791,alphacryptomega,C7,1,0,1,1.0,0.9337525963783264,0.3430834710597992,5.655195236206055,32,C7,True,0,32
2021-11-28,jeremycrypt0,masoum1313,C7,0,1,1,-1.0,,,,114,C7,True,0,114
2021-11-07,kwangyaism,digitalraiin,C0,0,1,1,-1.0,,,,1,C0,True,0,1
2021-12-26,zero_pinoy,eth4world,C7,1,0,1,1.0,0.3766988813877105,0.3015250861644745,4.59195613861084,2,C7,True,0,2
2021-12-26,[twitter_query=sol],dnftgv,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-12-05,hearts_archer,[twitter_query=sol],C7,1,1,2,0.0,0.0048179221339523,0.3010120391845703,8.294493675231934,3,C7,True,0,3
2021-11-14,donaldthistlet1,blockfi,C7,1,0,1,1.0,0.6345352530479431,0.1092585772275924,8.348869323730469,7,C2,False,2,5
2021-11-14,dlloctavia,1zombywoof,C7,0,1,1,-1.0,,,,16,C7,True,0,16
2021-12-21,shibaacoinn,mitnastart,C7,0,1,1,-1.0,,,,4,C7,True,0,4
2021-10-31,[twitter_query=sol],haro_sol_,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-10-31,kmzwa1aw,rewardsbunny,C7,2,0,2,1.0,0.970673441886902,0.319932073354721,5.692192077636719,5,C7,True,2,3
2021-12-21,starbucksnews,meusshiba,C7,0,1,1,-1.0,,,,5,C7,True,1,4
2021-10-31,risqiahf,cryptotweetybee,C7,1,0,1,1.0,0.6742966175079346,0.1931134313344955,4.728853702545166,3,C7,True,0,3
2021-12-05,paulwarren,wilson7920,C7,0,1,1,-1.0,,,,8,C7,True,0,8
2021-12-12,masterhiba3,icohigh_net,C7,1,0,1,1.0,0.4502002894878387,0.2119707316160202,6.02974271774292,18,C7,True,0,18
2021-11-14,cryptozzie,ranabab64216991,C7,0,1,1,-1.0,,,,14,C7,True,1,13
2021-11-07,jfmontiel86,reyes_medinilla,C0,1,0,1,1.0,0.3949130475521087,0.187943235039711,9.006446838378906,4,C9,False,2,2
2021-11-29,cryptochumps,celebritychumps,C2,2,0,2,1.0,,,,1,C2,True,0,1
2021-11-13,andjelaradmilac,daateumaansia,C7,0,1,1,-1.0,,,,1,C7,True,0,1
2021-10-31,vladarie_,ediyotee,C7,1,0,1,1.0,0.8786067962646484,0.3222132325172424,5.009452819824219,4,C7,True,2,2
2021-10-31,badbabydinosnft,skishor91066534,C2,0,1,1,-1.0,,,,2,C7,False,1,1
2021-11-14,clusterone2,jas72boyd,C6,0,1,1,-1.0,,,,4,C2,False,2,2
2021-11-28,thebonksvan,bantammoose,C0,0,2,2,-1.0,,,,4,C5,False,2,2
2021-12-12,cryptocopycats,mamajaecityx,C7,0,1,1,-1.0,,,,59,C7,True,0,59
2021-12-05,0nlynfts,loveojii87,C7,0,1,1,-1.0,,,,21,C7,True,0,21
2021-12-21,shibnobi_1,gregory88393308,C7,0,1,1,-1.0,,,,2,C7,True,0,2
2021-12-12,saintsupjfc,qalanna17,C9,0,1,1,-1.0,,,,4,C3,False,2,2
2021-12-12,fossgregfoss,schwinn3,C7,0,1,1,-1.0,,,,24,C7,True,5,19
2021-11-28,kingjimmyc,billos96,C7,0,3,3,-1.0,,,,21,C7,True,0,21
2021-12-21,phatpandaznft,casper31024595,C7,0,1,1,-1.0,,,,24,C7,True,0,24
2021-12-12,jcdatrasto,sovimon74,C9,1,0,1,1.0,0.4956225752830505,0.0087548634037375,9.875872611999512,6,C9,True,0,6
2021-12-21,deric_sol,fibonaccig_,C5,0,1,1,-1.0,,,,5,C5,True,2,3
2021-12-20,ashwsbreal,muoingu62201322,C7,0,1,1,-1.0,,,,295,C7,True,0,295
2021-12-05,kamranh1433,setaclerkson,C9,1,0,1,1.0,0.4542239308357239,0.2552509009838104,5.257126331329346,4,C0,False,2,2
2021-12-12,carolhasup,cryptocoincoach,C7,1,0,1,1.0,0.9512555599212646,0.3412392735481262,6.26252031326294,4,C7,True,2,2
2021-10-31,bidmaster777,maorx11,C7,1,0,1,1.0,0.2079834938049316,0.2255855202674865,6.219454288482666,24,C7,True,0,24
2021-12-26,catalinsilives1,sayembabu24,C7,1,0,1,1.0,0.497002512216568,0.1612268239259719,5.59822940826416,1,C7,True,0,1
2021-11-07,kriptoismet,finanstakip12,C7,0,1,1,-1.0,,,,186,C7,True,88,98
2021-11-14,thxconjuring,veramylifef,C9,0,1,1,-1.0,,,,1,C9,True,0,1
2021-11-28,barbarainu1,liltunechi,C7,1,0,1,1.0,,,,16,C7,True,0,16
2021-11-28,shiba_cash,joschobam,C7,0,1,1,-1.0,,,,56,C7,True,1,55
2021-11-07,budioioi2,idamsi12,C0,0,1,1,-1.0,,,,8,C9,False,4,4
2021-11-07,investments_ceo,dawokbois,C7,0,1,1,-1.0,,,,343,C7,True,3,340
2021-12-05,borsasinan,ademss_16,C7,0,1,1,-1.0,,,,20,C7,True,0,20
2021-12-21,xuliovd,turvegal,C0,1,0,1,1.0,0.096886545419693,0.2106043845415115,8.434775352478027,2,C0,True,1,1
2021-11-07,ravers,tezgel811,C7,0,1,1,-1.0,,,,32,C7,True,0,32
2021-12-26,toshiwatcher,saoulidisg,C2,2,2,4,0.0,,,,17,C2,True,5,12
2021-12-12,saeed55181899,sayembabu24,C7,1,0,1,1.0,0.5417858958244324,0.101924180984497,3.1786158084869385,10,C7,True,0,10
2021-11-07,cpthewolf,luckycyl_,C7,0,1,1,-1.0,,,,19,C7,True,0,19
2021-12-12,maciejzal86,elonsshibafloki,C7,1,0,1,1.0,0.5412843823432922,0.082568809390068,12.81304168701172,3,C7,True,0,3
2021-11-07,bglendenning,yeeteasy,C0,0,1,1,-1.0,,,,1,C0,True,0,1
2021-11-29,oxybiz,[twitter_query=sol],C7,1,1,2,0.0,0.925594925880432,0.2679215371608734,5.7652106285095215,4,C7,True,0,4
2021-11-14,moondogetc67,shibainuart,C7,1,0,1,1.0,0.7594245076179504,0.161344975233078,4.553025245666504,18,C7,True,1,17
2021-11-07,np_mawi,shibaspecialist,C7,2,0,2,1.0,0.9798566102981568,0.3204044103622436,4.425596714019775,1,C7,True,0,1
2021-12-26,nudevp,eros4_eros,C0,0,1,1,-1.0,,,,9,C0,True,2,7
2021-12-26,realdogelana,abatai_specta,C7,0,1,1,-1.0,,,,38,C7,True,4,34
2021-12-21,babydoge_value,rezanejati639_n,C7,0,1,1,-1.0,,,,57,C7,True,1,56
2021-11-07,coolbean166,earlyishadopter,C7,1,0,1,1.0,0.0011704545468091,0.3792179822921753,7.335090160369873,1,C7,True,0,1
2021-11-07,cyberpunkmoney,kavinvembu,C7,0,1,1,-1.0,,,,1,C7,True,0,1
2021-12-05,allex137,artistpromoter_,C7,1,0,1,1.0,0.5208083391189575,0.0416166521608829,5.394773006439209,17,C7,True,1,16
2021-11-05,mertoncollege,decodingtrolls,C8,0,1,1,-1.0,,,,1,C8,True,0,1
2021-11-28,murocrypto,rektproof,C7,0,1,1,-1.0,,,,9,C7,True,0,9
2021-12-26,billym2k,martinm99588412,C7,0,1,1,-1.0,,,,139,C7,True,2,137
2021-11-28,danish73946089,min0taur0_,C7,1,0,1,1.0,0.7950380444526672,0.1665734201669693,5.910549640655518,1,C7,True,0,1
2021-10-31,somy53720448,[twitter_query=sol],C7,2,2,4,0.0,0.8421024978160858,0.337301641702652,5.7317845821380615,1,C7,True,0,1
2021-11-07,arkastadt,nobodys_art,C0,0,1,1,-1.0,,,,2,C0,True,0,2
2021-11-07,[twitter_query=sol],seapd68,C7,1,1,2,0.0,,,,7750,C7,True,452,7298
2021-12-12,haechanwinn,nicollebayo,C7,1,0,1,1.0,0.4647340774536133,0.0566988363862037,3.339808464050293,9,C7,True,0,9
2021-12-26,azepluv,santassmurfy,C7,1,0,1,1.0,0.9949028491973876,0.4240705668926239,6.010169506072998,7,C7,True,0,7
