number_of_edges,number_of_nodes,start_time_,end_time_
133,51,2021-10-22 00:00:00,2021-10-29 00:00:00
7,3,2021-04-09 00:00:00,2021-04-16 00:00:00
3,2,2020-09-25 00:00:00,2020-10-02 00:00:00
18,6,2021-10-01 00:00:00,2021-10-08 00:00:00
3,2,2021-05-07 00:00:00,2021-05-14 00:00:00
34,13,2021-11-12 00:00:00,2021-11-19 00:00:00
3,2,2020-11-20 00:00:00,2020-11-27 00:00:00
6,3,2021-05-28 00:00:00,2021-06-04 00:00:00
4,3,2021-07-30 00:00:00,2021-08-06 00:00:00
11,6,2021-09-10 00:00:00,2021-09-17 00:00:00
3,2,2021-08-20 00:00:00,2021-08-27 00:00:00
3,2,2021-08-13 00:00:00,2021-08-20 00:00:00
6,3,2021-09-17 00:00:00,2021-09-24 00:00:00
6,3,2021-03-26 00:00:00,2021-04-02 00:00:00
44227,10137,2021-12-03 00:00:00,2021-12-10 00:00:00
3,2,2021-06-11 00:00:00,2021-06-18 00:00:00
31,12,2021-10-15 00:00:00,2021-10-22 00:00:00
92,33,2021-11-19 00:00:00,2021-11-26 00:00:00
3,2,2021-03-12 00:00:00,2021-03-19 00:00:00
44019,9313,2021-11-05 00:00:00,2021-11-12 00:00:00
3,2,2021-06-04 00:00:00,2021-06-11 00:00:00
4,3,2020-02-21 00:00:00,2020-02-28 00:00:00
11,6,2021-09-24 00:00:00,2021-10-01 00:00:00
3,2,2021-07-09 00:00:00,2021-07-16 00:00:00
8,5,2021-06-25 00:00:00,2021-07-02 00:00:00
3,2,2021-04-02 00:00:00,2021-04-09 00:00:00
7,4,2021-09-03 00:00:00,2021-09-10 00:00:00
6,3,2021-08-27 00:00:00,2021-09-03 00:00:00
58559,12617,2021-10-29 00:00:00,2021-11-05 00:00:00
3,2,2020-07-03 00:00:00,2020-07-10 00:00:00
6,3,2021-07-16 00:00:00,2021-07-23 00:00:00
42103,9103,2021-11-26 00:00:00,2021-12-03 00:00:00
3,2,2020-04-24 00:00:00,2020-05-01 00:00:00
12,5,2021-10-08 00:00:00,2021-10-15 00:00:00
3,2,2021-02-05 00:00:00,2021-02-12 00:00:00
