id,original_dataset,twitter_query,statuses_count,listed_count,favourites_count,friends_count,followers_count,name,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,cluster,start_time_,end_time_
csantanabauza,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,141083,1014,17682,85024,76401,#bestsellerbook #recommendedbooks #cursosonline,1,1,4,2,6,2,0.0,cluster_1,2021-10-31 00:00:00,2021-11-01 00:00:00
nigari_com,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,54218,29,201862,1480,3023,にがりん@関西キャンパー team｢はらっぱ｣,1,2,3,3,6,3,-0.33,cluster_1,2021-12-12 00:00:00,2021-12-13 00:00:00
futabatei,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,110532,88,25695,1470,5651,futabatei 元草OL,6,13,3,3,6,19,-0.37,cluster_1,2021-10-31 00:00:00,2021-11-01 00:00:00
minhtri39547155,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,215,0,215,1,0,Minh Trí,1,1,4,2,6,2,0.0,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
bmt0011,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,6596,0,24350,1184,457,bmt001,1,1,4,2,6,2,0.0,cluster_1,2021-11-28 00:00:00,2021-11-29 00:00:00
btc_ham_taro,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,57,0,33,62,6,びっとこハム太郎,2,2,4,2,6,4,0.0,cluster_1,2021-12-26 00:00:00,2021-12-27 00:00:00
btc_ham_taro,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,57,0,33,62,6,びっとこハム太郎,2,2,4,2,6,4,0.0,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
bitcoinbinance3,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1313,1,887,622,64,Bitcoin_Binance_ETH,2,2,11,2,13,4,0.0,cluster_1,2021-12-20 00:00:00,2021-12-21 00:00:00
aymanadil_7,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,10257,0,33681,1722,659,ⲁⲓ̈ⲙⲁⲛ𓅓,1,1,6,2,8,2,0.0,cluster_1,2021-12-26 00:00:00,2021-12-27 00:00:00
simssaad,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,𝙾 𝚂 𝙰 𝙼 𝙰,0,1,0,1,1,1,-1.0,cluster_1,2021-12-26 00:00:00,2021-12-27 00:00:00
duncanbannatyne,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,0,0,0,0,0,Duncan Bannatyne,0,1,0,1,1,1,-1.0,cluster_1,2021-10-31 00:00:00,2021-11-01 00:00:00
crypto_btc_2006,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,214,0,14720,81,23,Popeye (novice),1,1,4,2,6,2,0.0,cluster_1,2021-12-05 00:00:00,2021-12-06 00:00:00
patricerexmand1,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,646,1,648,90,16,De Crypto Don,1,1,4,2,6,2,0.0,cluster_1,2021-10-31 00:00:00,2021-11-01 00:00:00
linrtww,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,42818,0,706,222,37,ไอ้เป็ด,1,1,3,2,5,2,0.0,cluster_1,2021-11-07 00:00:00,2021-11-08 00:00:00
lectorhispano,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,2700,3,138,494,461,Crypto Promoter,5,5,4,2,6,10,0.0,cluster_1,2021-10-31 00:00:00,2021-11-01 00:00:00
