id,original_dataset,twitter_query,statuses_count,listed_count,favourites_count,friends_count,followers_count,name,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,cluster,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
unalbadur1316,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1715,1,1614,1224,55,Ünal Badur,1,1,3,2,5,2,0.0,cluster_4,0.4317787289619446,0.1769527643918991,9.83132266998291,2021-10-31 00:00:00,2021-11-01 00:00:00
cumbzz,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,750,1,3520,155,23,Self_19,1,1,4,2,6,2,0.0,cluster_4,0.9005863666534424,0.2574222981929779,4.905101776123047,2021-10-31 00:00:00,2021-11-01 00:00:00
fatima93324354,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1528,0,2442,984,1169,Fatima,1,1,3,2,5,2,0.0,cluster_4,0.7333592772483826,0.16887086629867554,8.014842987060547,2021-11-07 00:00:00,2021-11-08 00:00:00
tradingjob1,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH,6772,6,13215,671,682,Tradingjob,3,3,4,3,7,6,0.0,cluster_4,0.3517150928576787,0.15723478297392526,5.406010866165161,2021-12-05 00:00:00,2021-12-06 00:00:00
doopie663227162,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,ETH2,137,0,41,0,0,Doopie,2,2,7,2,9,4,0.0,cluster_4,0.5155375003814697,0.1977791041135788,5.840070962905884,2021-11-03 00:00:00,2021-11-04 00:00:00
_thisvid,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,LINK,136434,12,16,1,5172,thisvid🤖,48,48,44,2,46,96,0.0,cluster_4,0.8453634480635325,0.25104294282694656,10.027427593866983,2021-10-31 00:00:00,2021-11-01 00:00:00
booksorawis,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,529,0,40,64,63,Bouc,1,1,3,2,5,2,0.0,cluster_4,0.8213295340538025,0.1548573523759842,6.259416103363037,2021-12-12 00:00:00,2021-12-13 00:00:00
grovestor,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,2190,3,4152,423,86,Gro Vestor,1,1,4,2,6,2,0.0,cluster_4,0.049541179090738297,0.26982608437538147,5.662800312042236,2021-12-12 00:00:00,2021-12-13 00:00:00
2rzfhptyo1po0n1,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,1043,3,1815,439,30,向往,1,1,3,2,5,2,0.0,cluster_4,0.6262496113777161,0.28670766949653625,5.216015815734863,2021-10-31 00:00:00,2021-11-01 00:00:00
cholwarda,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,19,1,29,29,1,Chris Holwarda,1,1,3,2,5,2,0.0,cluster_4,0.846081554889679,0.2858884632587433,8.606449127197266,2021-12-05 00:00:00,2021-12-06 00:00:00
nurianasiagian,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,8,0,6,6,0,Nuriana Siagian,1,1,4,2,6,2,0.0,cluster_4,0.6735572218894958,0.25866690278053284,6.672324180603027,2021-12-12 00:00:00,2021-12-13 00:00:00
joss_do_it_btc,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,6878,24,18387,996,1563,Joss Tonn,2,2,7,2,9,4,0.0,cluster_4,0.7210299670696259,0.2373102381825447,8.45725965499878,2021-12-26 00:00:00,2021-12-27 00:00:00
olawalium,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,96126,14,12323,2802,2071,Olawalium,1,2,3,3,6,3,-0.33,cluster_4,0.03441126272082329,0.19901178777217865,5.556525230407715,2021-11-07 00:00:00,2021-11-08 00:00:00
ricky41820944,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,279,1,724,358,23,리키,1,1,4,2,6,2,0.0,cluster_4,0.7031473517417908,0.3454097509384155,7.373886585235596,2021-10-31 00:00:00,2021-11-01 00:00:00
mirceacolceag,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,3870,6,13455,193,1264,Mircea ⚡,1,1,3,2,5,2,0.0,cluster_4,0.8943076133728027,0.17712803184986115,6.582790374755859,2021-12-26 00:00:00,2021-12-27 00:00:00
shiang131,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,285,2,960,200,2,🌈🌈shiang13,1,1,3,2,5,2,0.0,cluster_4,0.9123710989952087,0.1971289962530136,5.374081611633301,2021-12-12 00:00:00,2021-12-13 00:00:00
ricardo66844393,BTC_1031_1107_1114_1128_1205_1212_1219_1226_annot_daily_04,BTC,29677,0,22365,3670,228,Ricardo,1,1,3,2,5,2,0.0,cluster_4,0.12318668514490128,0.19489642977714539,5.594220161437988,2021-11-28 00:00:00,2021-11-29 00:00:00
