dst,src,messages_sent,messages_received,messages_total,contribution_index,start_time_,end_time_
linrtww,linrtww,1,1,2,0.0,2021-11-07 00:00:00,2021-11-08 00:00:00
quirozdpedro17,quirozdpedro17,1,1,2,0.0,2021-11-07 00:00:00,2021-11-08 00:00:00
jungleroinvest,jungleroinvest,1,1,2,0.0,2021-11-07 00:00:00,2021-11-08 00:00:00
jungleroinvest,pelli23,0,1,1,-1.0,2021-11-07 00:00:00,2021-11-08 00:00:00
pelli23,jungleroinvest,1,0,1,1.0,2021-11-07 00:00:00,2021-11-08 00:00:00
harikee7,harikee7,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
fifi_h786,fifi_h786,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
zhengha06425831,zhengha06425831,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
usmi2047,fifi_h786,1,0,1,1.0,2021-12-05 00:00:00,2021-12-06 00:00:00
crypto_btc_2006,crypto_btc_2006,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
mebi_trade,mebi_trade,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
sfeng_ta,sfeng_ta,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
arthurglemanda,arthurglemanda,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
muichiroshrey,muichiroshrey,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
btc_idn,btc_idn,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
fifi_h786,usmi2047,0,1,1,-1.0,2021-12-05 00:00:00,2021-12-06 00:00:00
molazzzzz,molazzzzz,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
whipenft,whipenft,1,1,2,0.0,2021-12-05 00:00:00,2021-12-06 00:00:00
lectorhispano,lectorhispano,5,5,10,0.0,2021-10-31 00:00:00,2021-11-01 00:00:00
csantanabauza,csantanabauza,1,1,2,0.0,2021-10-31 00:00:00,2021-11-01 00:00:00
gretitos,gretitos,5,5,10,0.0,2021-10-31 00:00:00,2021-11-01 00:00:00
mogmogerio,mogmogerio,3,3,6,0.0,2021-10-31 00:00:00,2021-11-01 00:00:00
duncanbannatyne,strings22,1,0,1,1.0,2021-10-31 00:00:00,2021-11-01 00:00:00
futabatei,futabatei,6,6,12,0.0,2021-10-31 00:00:00,2021-11-01 00:00:00
strings22,duncanbannatyne,0,1,1,-1.0,2021-10-31 00:00:00,2021-11-01 00:00:00
patricerexmand1,patricerexmand1,1,1,2,0.0,2021-10-31 00:00:00,2021-11-01 00:00:00
strings22,strings22,1,1,2,0.0,2021-10-31 00:00:00,2021-11-01 00:00:00
nigari_com,nigari_com,1,1,2,0.0,2021-12-12 00:00:00,2021-12-13 00:00:00
gowrising,gowrising,1,1,2,0.0,2021-12-12 00:00:00,2021-12-13 00:00:00
zhengha06425831,zhengha06425831,1,1,2,0.0,2021-12-12 00:00:00,2021-12-13 00:00:00
shonerudeetha,shonerudeetha,1,1,2,0.0,2021-12-12 00:00:00,2021-12-13 00:00:00
amanair2,amanair2,1,1,2,0.0,2021-12-12 00:00:00,2021-12-13 00:00:00
niccoli_v,niccoli_v,1,1,2,0.0,2021-12-12 00:00:00,2021-12-13 00:00:00
btc_ham_taro,btc_ham_taro,1,1,2,0.0,2021-12-26 00:00:00,2021-12-27 00:00:00
aymanadil_7,mo7ammedisam,0,1,1,-1.0,2021-12-26 00:00:00,2021-12-27 00:00:00
nftbytee,nftbytee,1,1,2,0.0,2021-12-26 00:00:00,2021-12-27 00:00:00
aymanadil_7,aymanadil_7,1,1,2,0.0,2021-12-26 00:00:00,2021-12-27 00:00:00
aymanadil_7,simssaad,0,1,1,-1.0,2021-12-26 00:00:00,2021-12-27 00:00:00
mo7ammedisam,aymanadil_7,1,0,1,1.0,2021-12-26 00:00:00,2021-12-27 00:00:00
simssaad,aymanadil_7,1,0,1,1.0,2021-12-26 00:00:00,2021-12-27 00:00:00
aymanadil_7,imustafaadil,0,1,1,-1.0,2021-12-26 00:00:00,2021-12-27 00:00:00
imustafaadil,aymanadil_7,1,0,1,1.0,2021-12-26 00:00:00,2021-12-27 00:00:00
aaronswartz1010,aaronswartz1010,2,2,4,0.0,2021-11-28 00:00:00,2021-11-29 00:00:00
adrimarpt,adrimarpt,1,1,2,0.0,2021-11-28 00:00:00,2021-11-29 00:00:00
quirozdpedro17,quirozdpedro17,1,1,2,0.0,2021-11-28 00:00:00,2021-11-29 00:00:00
bmt0011,bmt0011,1,1,2,0.0,2021-11-28 00:00:00,2021-11-29 00:00:00
edme91992569,edme91992569,4,4,8,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
divinfty,divinfty,4,4,8,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
minhtri39547155,minhtri39547155,1,1,2,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
bitcoinbinance3,bitcoinbinance3,2,2,4,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
_cryptomofo,_cryptomofo,1,1,2,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
shami1122333,shami1122333,1,1,2,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
mebi_trade,mebi_trade,3,3,6,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
btc_ham_taro,btc_ham_taro,1,1,2,0.0,2021-12-20 00:00:00,2021-12-21 00:00:00
