dst,src,messages_sent,messages_received,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
aminulrubi,aminulrubi,1,1,2,0.0,0.8363021016120911,0.17934563755989075,4.705880165100098,2021-11-07 00:00:00,2021-11-08 00:00:00
aticafm,aticafm,1,1,2,0.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
1ps3gamer,bbydollkatarina,0,1,1,-1.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
gersonbeau,natmelendez5,0,1,1,-1.0,,,,2021-11-07 00:00:00,2021-11-08 00:00:00
ohello0,ohello0,1,1,2,0.0,0.5976071357727051,0.23099641501903534,5.458731174468994,2021-11-07 00:00:00,2021-11-08 00:00:00
wellmax79263134,pipboysurvivor,1,0,1,1.0,0.7349060773849487,0.18049751222133636,5.375485897064209,2021-11-07 00:00:00,2021-11-08 00:00:00
princess__lolaa,princess__lolaa,1,1,2,0.0,0.7060741186141968,0.1853390634059906,8.20893383026123,2021-11-07 00:00:00,2021-11-08 00:00:00
sprklylix,sprklylix,1,1,2,0.0,0.8645850419998169,0.27308356761932373,4.435511589050293,2021-11-07 00:00:00,2021-11-08 00:00:00
stc019,stc019,1,1,2,0.0,0.384159654378891,0.31502243876457214,5.213376522064209,2021-11-07 00:00:00,2021-11-08 00:00:00
sweetcherrycam,sweetcherrycam,2,2,4,0.0,0.35987488366663456,0.24547268450260162,5.074922800064087,2021-11-07 00:00:00,2021-11-08 00:00:00
teddy_bbbrrr,teddy_bbbrrr,1,1,2,0.0,0.06048203259706497,0.33918866515159607,6.019987106323242,2021-11-07 00:00:00,2021-11-08 00:00:00
uttshyunjin,uttshyunjin,1,1,2,0.0,0.3461681604385376,0.15346170961856842,7.29555082321167,2021-11-07 00:00:00,2021-11-08 00:00:00
achita65452325,achita65452325,1,1,2,0.0,0.21060900390148163,0.145899698138237,4.442770004272461,2021-11-07 00:00:00,2021-11-08 00:00:00
akineza1,akineza1,1,1,2,0.0,0.8910838961601257,0.18838366866111755,5.3509840965271,2021-11-07 00:00:00,2021-11-08 00:00:00
chudiezeugwu,chudiezeugwu,1,1,2,0.0,0.8927990794181824,0.23116137087345123,5.709961414337158,2021-11-07 00:00:00,2021-11-08 00:00:00
bvncsan,coachable_,1,0,1,1.0,0.9846217632293701,0.30438101291656494,4.842983722686768,2021-11-07 00:00:00,2021-11-08 00:00:00
cryptostpn,cryptostpn,1,1,2,0.0,0.8414992094039917,0.3097243309020996,6.141183853149414,2021-11-07 00:00:00,2021-11-08 00:00:00
daddieshousexxx,daddieshousexxx,7,7,14,0.0,0.6995622696621078,0.245981759258679,5.512224469866071,2021-11-07 00:00:00,2021-11-08 00:00:00
daltonburnett98,daltonburnett98,1,1,2,0.0,0.25260815024375916,0.1861414611339569,7.920001029968262,2021-11-07 00:00:00,2021-11-08 00:00:00
