id,twitter_query,followers_count,statuses_count,favourites_count,name,listed_count,friends_count,cluster
0bayra0,LINK,87,1208,2387,BayRA,1,684,cluster_0
0xbanana,SOL,15183,36329,120443,banana,251,6023,cluster_0
0xm3rlin,ETH2,0,0,0,0xMerlin.eth,0,0,cluster_0
87_shum1,SOL,80,9272,6517,弥菜🌈メンタル強くして生きる,4,120,cluster_0
_cryptosapien_,SHIB,44,14,111,cryptosapien,0,73,cluster_0
_kojoasante71,SOL,0,0,0,Abrantie💯🔥,0,0,cluster_0
_oonynl2,LINK,15,1125,872,ᵐᵒᵃⁿᵃ,1,17,cluster_0
_pro_gram_,LINK,17,9457,79323,PROGRAM,1,235,cluster_0
abepringle,SOL,175,6876,20059,Abraham Pringle,3,443,cluster_0
abisoyeoyebode,SOL,0,0,0,Atom Oflife,0,0,cluster_0
abohamza1985202,DOGE,2,122,41,abedahmed,0,49,cluster_0
acomathordave,SHIB,114,4065,8028,Acomathor,0,105,cluster_0
acroce66,SOL,0,0,0,ℂ𝕖𝕝𝕝𝕦𝕝𝕠𝕚𝕕ℂ𝕚𝕟𝕖𝕞𝕒,0,0,cluster_0
adem27836880,SHIB,223,6251,9390,Calig,0,819,cluster_0
afridy_al,LINK,32,3872,2507,Afridy Al Nayem,2,1910,cluster_0
ahrumel1,SOL,72,652,309,A.H Rumel,0,397,cluster_0
ahsipar1,LINK,0,13,6,AhSiPar,0,14,cluster_0
aineskies,SHIB,214,23199,4046,aine 🧃,0,4393,cluster_0
akashan73344836,SOL,44,1840,1001,Akash anand,3,958,cluster_0
alexleserveur,SOL,7821,148226,119232,Loup Lassinat-Foubert,209,419,cluster_0
alicepieszeckii,LINK,531,34349,42578,Kendrick Lamar stan account,0,340,cluster_0
amarallula,SOL,3619,76977,85259,Gloria Lula Amaral,14,4991,cluster_0
anaisincharge,LINK,2382,4856,7772,💲AnaisInCharge 🖤,5,617,cluster_0
andestie_,LINK,126,8374,1738,L🌵,0,1642,cluster_0
andy88263906,SHIB,7,177,360,andy mccoy,0,25,cluster_0
animula_tenera,SOL,0,0,0,Dr. Animula,0,0,cluster_0
araratartnft,BTC,0,0,0,Ararat Art NFT,0,0,cluster_0
arora42153195,SOL,14,375,270,Arora,0,412,cluster_0
ars_income,LINK,0,8,0,Ars Income,0,9,cluster_0
awal_iwel,SHIB,34,945,1015,iwelinsky,1,270,cluster_0
awinoluobae,LINK,62516,715,271,Nyar Siaya 🌹,57,38,cluster_0
baljwry,LINK,30,1856,1480,عبير الجوري,0,909,cluster_0
bananaheat,LINK,94,12113,1284,KK,1,851,cluster_0
barthezzz123,SHIB,14,176,110,Димон,1,360,cluster_0
bb15love,LINK,50,4714,3479,BB15Love,0,47,cluster_0
beaglegenerati1,SHIB,257,4273,104,Beagle Generation,0,904,cluster_0
beary_incognito,LINK,174,335,422,Bear,0,81,cluster_0
bekchakke,ETH2,3,64,70,bereket chakke,0,109,cluster_0
ben61104480,SOL,9,459,219,ben,0,250,cluster_0
benadetha13,LINK,150,1470,4513,Benadetha 👑👑👑👑👑👑,1,290,cluster_0
bentley11863142,SHIB,49,1181,1599,Ehsan #FEG,0,180,cluster_0
bhairav97,LINK,1394,10936,16332,🆘Bhairav97💀🆘,8,4133,cluster_0
bhong20tui1,LINK,77,2500,5403,Em Trai May Mắn,0,4656,cluster_0
bigwin_louie17,SHIB,28,11324,1649,Sige🙏,0,2215,cluster_0
billionaireqian,SHIB,2,52,8,Noura,0,47,cluster_0
bobtitiona,SHIB,22,237,124,Titiona Bob,1,467,cluster_0
bodh4gautam,LINK,357,19486,28231,Naveen Gautam,0,519,cluster_0
brando671,LINK,31,16,15,brando671,0,37,cluster_0
brknl6,SHIB,63,137,94,Brknl,0,219,cluster_0
bsunrize,SOL,522,2386,5145,ballzsunrize.sol,4,815,cluster_0
btxxmm,LINK,78,15447,3093,clara,0,162,cluster_0
bubblegumdrp22,LINK,4,17,10,Megan Gardner,0,9,cluster_0
bubbleteez,LINK,481,5822,6552,Lemon 🎓| ateez cb on Dec. 10th,0,467,cluster_0
bumnoodles,LINK,13,3587,9368,Noodles of Bum,8,804,cluster_0
burhanalizarger,DOGE,0,0,0,𝑫𝒓. 𝑩𝒖𝒓𝒉𝒂𝒏,0,0,cluster_0
calderheade,LINK,91,312,3389,Calderhead Erskine,0,178,cluster_0
cancesur76,LINK,10,9,158,Cancesur,0,122,cluster_0
canersau,SHIB,28,5004,981,Saitama Army,1,111,cluster_0
catzcoin,SHIB,0,0,0,CatzCoin,0,0,cluster_0
cclattq,SHIB,2,55,26,Juli,0,46,cluster_0
ceuwangi,SHIB,63,15469,2011,ce | free tag🤸,0,1874,cluster_0
chandan_jaji,DOGE,6,38,935,Chandan Hegde,1,149,cluster_0
chicdanon,LINK,1,45,38,Sweety,0,27,cluster_0
chovuithoitk84,DOGE,0,3,2,chovuithoitk84,0,6,cluster_0
chriscash_1,LINK,0,0,0,Chris Cash💰🇳🇬,0,0,cluster_0
chrisschlosser,LINK,5763,7006,3857,Chris Schlosser,272,2782,cluster_0
clinicallyhornt,LINK,43,16841,3768,Trans Catgirl,1,513,cluster_0
corealunya,SOL,623,25696,126902,Dudu 독립 운동🇰🇷,1,983,cluster_0
countryhodl,SOL,25,122,2876,CountryHODL,0,202,cluster_0
courtne79284795,LINK,21,2148,0,Courtney Williams,0,1,cluster_0
cryptardan_47,SOL,156,3812,5995,ARDAN,5,166,cluster_0
crypto_edstark,SOL,1223,2094,3344,Crypto Stark,4,1349,cluster_0
crypto_sezar_1,ETH,0,0,0,🍀‏‎‎‎crypto.sezar.,0,0,cluster_0
cryptodudes0666,SOL,0,8,5,Crypto Dudes #0666,0,2,cluster_0
cryptoj_dup,SHIB,10,308,44,J Dup,0,142,cluster_0
cryptolover_88,SHIB,191,14504,6542,Crypto Lover,0,5003,cluster_0
cryptoqasim1,SHIB,136,15820,4434,Qasim Arain,2,3396,cluster_0
cybercopsoz,SHIB,458,2279,7170,Hidetoshi 🇮🇹🇦🇺🇰🇷,5,322,cluster_0
dallasbankroll,LINK,934,4135,4666,Matt Epstein,10,440,cluster_0
danielanicolas,SOL,0,0,0,Daniela Nicolás,0,0,cluster_0
dao_silent,ETH2,0,0,0,"SilentDAO (🤫,🤫)",0,0,cluster_0
dapson_kro,SOL,833,2251,1549,dapson.sol,2,1106,cluster_0
dat_deltagirl,LINK,1164,7495,12509,Cruise Mistress 🦅🐺💰,1,687,cluster_0
dave_p_baller,ETH,0,0,0,Dave 🏀 🐺,0,0,cluster_0
daviidromadon,SHIB,146,49469,5868,David R 🎃,2,4922,cluster_0
dhung98171,SOL,171,3700,2784,duongmanhhung (fingzing90.near),2,2429,cluster_0
diego__rs,SOL,18793,18341,29027,Diego Rodríguez,29,98,cluster_0
diosperspective,SHIB,217,4913,28078,Lucidio The Traveler,2,208,cluster_0
druigglorya,SOL,1589,41469,41326,n a a 🌙,8,2274,cluster_0
dumbeelol,SOL,664,19655,39496,bee🍯,24,516,cluster_0
e_damorela,SOL,16038,61109,59050,Made In Lagos 🦁 🔺,0,9095,cluster_0
eimueci,DOGE,0,0,0,Eimu Eci,0,0,cluster_0
el_recuento,SOL,0,0,0,Margot Martín (@El_Recuento) 🎤,0,0,cluster_0
elekkkkk,SOL,81,2842,1306,NFT Life,1,710,cluster_0
elijah35420418,ETH2,721,13155,22344,Dishta🇪🇹🇪🇷🇰🇪🇸🇴🇺🇬🇩🇯,1,501,cluster_0
elsurdo00,SOL,26,620,719,Jose Taveras,1,88,cluster_0
elysium_nhaama,SOL,0,0,0,Sol🌸✨Officially Unorthodox™,0,0,cluster_0
enhypenloveeee,LINK,172,1000,4796,loveee,0,473,cluster_0
enokipeyangu,SOL,55643,12758,8826,げんこうしろぽめみ,165,94,cluster_0
ermannokilgore,SOL,0,0,0,Kilgore,0,0,cluster_0
erroestwn,SHIB,129,6007,1540,Srd46,0,1406,cluster_0
erward64156349,SOL,8,275,122,Erward,0,129,cluster_0
eulili03,SOL,0,0,0,Lili ✨,0,0,cluster_0
fadyhanesh,LINK,2,27,36,Fady Abu Hanesh,0,68,cluster_0
fajitagawd,SHIB,100,955,604,SaiyanGawd,1,130,cluster_0
farohaaaa555555,LINK,555,42933,16538,المتفائلة 🍂#احباب_اسلوب_راقي,0,4999,cluster_0
fatooo0my,BTC,0,0,0,Fatma🇵🇸🇴🇲,0,0,cluster_0
felipediola,SOL,0,0,0,Felipe subterrâneo🔥,0,0,cluster_0
feraounr,SHIB,26,592,4108,FERAOUN RADOUANE,0,333,cluster_0
fhabcd1234,LINK,70,1743,460,-,0,942,cluster_0
flickersoobin,LINK,0,0,0,lara croft || estudando,0,0,cluster_0
