number_of_edges,number_of_nodes,start_time_,end_time_
1,1,2021-09-19 00:00:00,2021-09-20 00:00:00
183,118,2021-11-11 00:00:00,2021-11-12 00:00:00
1,1,2021-11-15 00:00:00,2021-11-16 00:00:00
2,2,2021-10-20 00:00:00,2021-10-21 00:00:00
1,1,2021-06-17 00:00:00,2021-06-18 00:00:00
3,3,2021-10-16 00:00:00,2021-10-17 00:00:00
141,119,2021-11-02 00:00:00,2021-11-03 00:00:00
92,77,2021-11-27 00:00:00,2021-11-28 00:00:00
348,328,2021-12-07 00:00:00,2021-12-08 00:00:00
122,117,2021-11-30 00:00:00,2021-12-01 00:00:00
13,13,2021-11-20 00:00:00,2021-11-21 00:00:00
139,130,2021-12-17 00:00:00,2021-12-18 00:00:00
1,1,2021-03-12 00:00:00,2021-03-13 00:00:00
147,134,2021-12-04 00:00:00,2021-12-05 00:00:00
6673,4373,2021-12-26 00:00:00,2021-12-27 00:00:00
1,1,2021-07-23 00:00:00,2021-07-24 00:00:00
2,2,2021-09-16 00:00:00,2021-09-17 00:00:00
104,92,2021-12-15 00:00:00,2021-12-16 00:00:00
222,207,2021-11-01 00:00:00,2021-11-02 00:00:00
68,67,2021-10-24 00:00:00,2021-10-25 00:00:00
6198,4440,2021-12-20 00:00:00,2021-12-21 00:00:00
123,95,2021-11-06 00:00:00,2021-11-07 00:00:00
145,135,2021-12-24 00:00:00,2021-12-25 00:00:00
1,1,2021-08-03 00:00:00,2021-08-04 00:00:00
106,96,2021-12-03 00:00:00,2021-12-04 00:00:00
6711,3903,2021-11-28 00:00:00,2021-11-29 00:00:00
8880,6052,2021-10-31 00:00:00,2021-11-01 00:00:00
1,1,2017-05-22 00:00:00,2017-05-23 00:00:00
170,141,2021-12-11 00:00:00,2021-12-12 00:00:00
1,1,2018-05-23 00:00:00,2018-05-24 00:00:00
1,1,2021-05-19 00:00:00,2021-05-20 00:00:00
1,1,2020-11-21 00:00:00,2020-11-22 00:00:00
9734,5837,2021-11-07 00:00:00,2021-11-08 00:00:00
1,1,2021-11-18 00:00:00,2021-11-19 00:00:00
1,1,2021-06-30 00:00:00,2021-07-01 00:00:00
1,1,2021-05-29 00:00:00,2021-05-30 00:00:00
5,5,2021-11-16 00:00:00,2021-11-17 00:00:00
1,1,2021-06-04 00:00:00,2021-06-05 00:00:00
1,1,2017-08-13 00:00:00,2017-08-14 00:00:00
85,83,2021-12-09 00:00:00,2021-12-10 00:00:00
1,1,2020-11-06 00:00:00,2020-11-07 00:00:00
2,2,2021-10-11 00:00:00,2021-10-12 00:00:00
90,70,2021-10-27 00:00:00,2021-10-28 00:00:00
116,104,2021-12-13 00:00:00,2021-12-14 00:00:00
1,1,2021-08-22 00:00:00,2021-08-23 00:00:00
101,89,2021-10-26 00:00:00,2021-10-27 00:00:00
5,5,2021-10-01 00:00:00,2021-10-02 00:00:00
1,1,2021-08-14 00:00:00,2021-08-15 00:00:00
2621,1551,2021-11-29 00:00:00,2021-11-30 00:00:00
82,77,2021-10-23 00:00:00,2021-10-24 00:00:00
1,1,2020-02-21 00:00:00,2020-02-22 00:00:00
141,129,2021-11-04 00:00:00,2021-11-05 00:00:00
1,1,2021-10-21 00:00:00,2021-10-22 00:00:00
1,1,2021-04-01 00:00:00,2021-04-02 00:00:00
123,118,2021-11-25 00:00:00,2021-11-26 00:00:00
1,1,2021-09-13 00:00:00,2021-09-14 00:00:00
2796,1703,2021-12-21 00:00:00,2021-12-22 00:00:00
88,79,2021-12-25 00:00:00,2021-12-26 00:00:00
224,189,2021-11-12 00:00:00,2021-11-13 00:00:00
7218,4784,2021-12-12 00:00:00,2021-12-13 00:00:00
142,110,2021-11-03 00:00:00,2021-11-04 00:00:00
152,110,2021-11-08 00:00:00,2021-11-09 00:00:00
114,108,2021-12-02 00:00:00,2021-12-03 00:00:00
71,66,2021-10-25 00:00:00,2021-10-26 00:00:00
99,82,2021-10-29 00:00:00,2021-10-30 00:00:00
1,1,2021-06-28 00:00:00,2021-06-29 00:00:00
218,161,2021-12-10 00:00:00,2021-12-11 00:00:00
1,1,2021-10-04 00:00:00,2021-10-05 00:00:00
110,98,2021-11-26 00:00:00,2021-11-27 00:00:00
92,90,2021-12-16 00:00:00,2021-12-17 00:00:00
1,1,2021-10-03 00:00:00,2021-10-04 00:00:00
2,2,2021-10-17 00:00:00,2021-10-18 00:00:00
274,197,2021-12-22 00:00:00,2021-12-23 00:00:00
1,1,2021-06-09 00:00:00,2021-06-10 00:00:00
1,1,2021-11-19 00:00:00,2021-11-20 00:00:00
193,153,2021-11-05 00:00:00,2021-11-06 00:00:00
126,113,2021-11-09 00:00:00,2021-11-10 00:00:00
71,60,2021-12-18 00:00:00,2021-12-19 00:00:00
1,1,2021-10-14 00:00:00,2021-10-15 00:00:00
7121,4999,2021-12-05 00:00:00,2021-12-06 00:00:00
145,136,2021-12-08 00:00:00,2021-12-09 00:00:00
1,1,2021-03-16 00:00:00,2021-03-17 00:00:00
2,2,2021-09-01 00:00:00,2021-09-02 00:00:00
191,179,2021-12-01 00:00:00,2021-12-02 00:00:00
1,1,2020-04-30 00:00:00,2020-05-01 00:00:00
199,172,2021-11-23 00:00:00,2021-11-24 00:00:00
1,1,2021-09-30 00:00:00,2021-10-01 00:00:00
159,145,2021-11-22 00:00:00,2021-11-23 00:00:00
1,1,2021-08-04 00:00:00,2021-08-05 00:00:00
174,149,2021-11-21 00:00:00,2021-11-22 00:00:00
1,1,2020-09-30 00:00:00,2020-10-01 00:00:00
2,2,2021-09-03 00:00:00,2021-09-04 00:00:00
142,125,2021-10-30 00:00:00,2021-10-31 00:00:00
213,167,2021-12-23 00:00:00,2021-12-24 00:00:00
1,1,2021-07-21 00:00:00,2021-07-22 00:00:00
119,109,2021-10-28 00:00:00,2021-10-29 00:00:00
121,102,2021-11-13 00:00:00,2021-11-14 00:00:00
136,116,2021-11-24 00:00:00,2021-11-25 00:00:00
47,40,2021-10-22 00:00:00,2021-10-23 00:00:00
111,98,2021-12-14 00:00:00,2021-12-15 00:00:00
1,1,2021-04-26 00:00:00,2021-04-27 00:00:00
3047,1921,2021-11-14 00:00:00,2021-11-15 00:00:00
1,1,2021-09-17 00:00:00,2021-09-18 00:00:00
86,78,2021-12-06 00:00:00,2021-12-07 00:00:00
1,1,2021-09-08 00:00:00,2021-09-09 00:00:00
80,74,2021-12-19 00:00:00,2021-12-20 00:00:00
2,2,2021-08-05 00:00:00,2021-08-06 00:00:00
189,140,2021-11-10 00:00:00,2021-11-11 00:00:00
2,2,2021-09-28 00:00:00,2021-09-29 00:00:00
1,1,2021-11-17 00:00:00,2021-11-18 00:00:00
