dst,src,src_followers_count,src_friends_count,created_at,src_favourites_count,twitter_query,src_screen_name,dst_screen_name,hashtags,dst_name,time,src_id_str,text,src_listed_count,dst_id_str,src_name,src_statuses_count,time_
2018yeniden,2018yeniden,34,431,Sun Dec 05 13:08:31 +0000 2021,3850,BTC,2018yeniden,2018yeniden,,serdar✈️✈️,1638709711,4228856079,"RT @IamCryptoWolf: $BTC potential massive iHS, reminds me 2013 after the great shakeout. https://t.co/PfRmBVNERe",4,,serdar✈️✈️,4874,['1638662400-1638748800']
_32jaemcityx,_32jaemcityx,49,982,Sun Oct 31 11:40:40 +0000 2021,1103,BTC,_32Jaemcityx,_32Jaemcityx,"Bitcoin, Ethereum",oktober bigwin 🙏,1635680440,1446818715811540998,"RT @AshLee93247466: Legend has it, if anyone own seven Bull Cards, Shenlong will appear, and make #Bitcoin hit $100k, #Ethereum hit 20k...t…",0,,oktober bigwin 🙏,3274,['1635638400-1635724800']
agussulaeman_15,agussulaeman_15,1,68,Sun Nov 28 21:46:19 +0000 2021,51,BTC,Agussulaeman_15,Agussulaeman_15,,Agus Sulaeman,1638135979,1421278867382177794,@GoldSeaNFT amazing campaign and it has offering big opportunity @shabnam84801557 @Nuoimamtuonglai @HosseiniAzra… https://t.co/XMBNBtiES6,1,,Agus Sulaeman,70,['1638057600-1638144000']
ahamednahid9,ahamednahid9,1,18,Sun Dec 12 07:32:23 +0000 2021,23,BTC,AhamedNahid9,AhamedNahid9,,Ahamed Nahid,1639294343,1469683302135070724,RT @GravitonZero: And here we are at over 35k already only 2 hours later 😳The support we are getting from the community is just overwhelm…,0,,Ahamed Nahid,35,['1639267200-1639353600']
annie61238278,annie61238278,15,66,Mon Oct 25 19:28:21 +0000 2021,471,ETH2,Annie61238278,Annie61238278,,Annie,1635190101,1445896099797946368,@mbradyx35 @TheMoonCarl ETH2 will be more liquid than ETH,0,,Annie,425,['1635120000-1635206400']
apolovyh,apolovyh,0,4,Sun Nov 28 21:12:06 +0000 2021,3,BTC,APolovyh,APolovyh,,алексей половых,1638133926,1465037073157664772,"RT @VGrtoken: BONUS 5 people with the most retweets, share this tweet. each person will get 50000VGr. ends at 12 o'clock on 11/29 . @VGrtok…",0,,алексей половых,3,['1638057600-1638144000']
arfbrkkrblt,arfbrkkrblt,4,63,Sun Dec 05 13:10:09 +0000 2021,1455,BTC,arfbrkkrblt,arfbrkkrblt,,Arif Berke KARABULUT,1638709809,603667995,RT @kriptoefendisi_: 🔥ÇEKİLİŞ YAPIYORUM 🔥toplam 4500TL daha hediye edeceğim💵Yapmanız Gereken-Beni Takip Et✅-Tweeti RT Yap ve Beğen ✅…,0,,Arif Berke KARABULUT,37,['1638662400-1638748800']
arifboyraz10,arifboyraz10,0,8,Sun Nov 28 21:00:36 +0000 2021,42,BTC,ArifBoyraz10,ArifBoyraz10,"RUNE, RUNEUSDT, BTCUSDT, BTC",Arif Boyraz,1638133236,1447225356193251340,RT @falcon_line: #RUNE   $RUNE   #RUNEUSDT  #BTCUSDT  #BTC $BTC LONG   KİNG   HEADSHOT  🪓🔥💰💯Yatırım tavsiyesi değildir.Not Financial ad…,0,,Arif Boyraz,56,['1638057600-1638144000']
audymarroxas,audymarroxas,4,44,Sun Dec 12 07:33:31 +0000 2021,107,BTC,AudymarRoxas,AudymarRoxas,,Audymar Victoria Roxas,1639294411,1420732608158175238,RT @PlayMining_SG: News 🎉Current DEP price 0.0418 DEP/USDT (+10.48% Last 24h)Buy DEP now from following exchanges!OKEx▶️https://t.co/r…,0,,Audymar Victoria Roxas,124,['1639267200-1639353600']
berkkbulutt,berkkbulutt,191,361,Mon Nov 29 14:10:16 +0000 2021,3693,ETH,berkkbulutt,berkkbulutt,SLA,Berk Bulut (33.3%),1638195016,2878320753,RT @delizazaa: @cz_binance @elonmusk @binance @super_launch The 2nd IDO water @BornToRaceNft has launched and the #SLA approach has seen ar…,0,,Berk Bulut (33.3%),1078,['1638144000-1638230400']
