number_of_edges,number_of_nodes,start_time_,end_time_
16,9,2021-11-26 00:00:00,2021-11-27 00:00:00
1,1,2021-12-16 00:00:00,2021-12-17 00:00:00
158,104,2021-11-14 00:00:00,2021-11-15 00:00:00
6,5,2021-12-22 00:00:00,2021-12-23 00:00:00
3,3,2021-11-13 00:00:00,2021-11-14 00:00:00
3,3,2021-11-24 00:00:00,2021-11-25 00:00:00
1,1,2021-11-05 00:00:00,2021-11-06 00:00:00
4,4,2021-11-09 00:00:00,2021-11-10 00:00:00
15,10,2021-12-18 00:00:00,2021-12-19 00:00:00
1,1,2021-10-14 00:00:00,2021-10-15 00:00:00
1405,1178,2021-12-05 00:00:00,2021-12-06 00:00:00
4,4,2021-12-08 00:00:00,2021-12-09 00:00:00
4,4,2021-10-30 00:00:00,2021-10-31 00:00:00
7,7,2021-12-23 00:00:00,2021-12-24 00:00:00
3,3,2021-12-24 00:00:00,2021-12-25 00:00:00
1631,1351,2021-12-20 00:00:00,2021-12-21 00:00:00
6,4,2021-11-10 00:00:00,2021-11-11 00:00:00
6,6,2021-11-21 00:00:00,2021-11-22 00:00:00
1165,915,2021-11-28 00:00:00,2021-11-29 00:00:00
25,9,2021-12-06 00:00:00,2021-12-07 00:00:00
3,3,2021-11-23 00:00:00,2021-11-24 00:00:00
1737,1428,2021-10-31 00:00:00,2021-11-01 00:00:00
7,6,2021-12-04 00:00:00,2021-12-05 00:00:00
10,6,2021-11-22 00:00:00,2021-11-23 00:00:00
3,3,2021-12-15 00:00:00,2021-12-16 00:00:00
3,3,2021-11-01 00:00:00,2021-11-02 00:00:00
1600,1338,2021-12-26 00:00:00,2021-12-27 00:00:00
1,1,2021-10-24 00:00:00,2021-10-25 00:00:00
2,2,2021-12-03 00:00:00,2021-12-04 00:00:00
4,3,2021-11-06 00:00:00,2021-11-07 00:00:00
6,6,2021-12-11 00:00:00,2021-12-12 00:00:00
1143,912,2021-11-07 00:00:00,2021-11-08 00:00:00
2,2,2021-12-01 00:00:00,2021-12-02 00:00:00
2,2,2021-10-28 00:00:00,2021-10-29 00:00:00
6,4,2021-12-13 00:00:00,2021-12-14 00:00:00
1,1,2021-10-08 00:00:00,2021-10-09 00:00:00
10,9,2021-10-27 00:00:00,2021-10-28 00:00:00
124,85,2021-11-29 00:00:00,2021-11-30 00:00:00
2,2,2021-10-23 00:00:00,2021-10-24 00:00:00
5,4,2021-10-26 00:00:00,2021-10-27 00:00:00
1,1,2021-11-04 00:00:00,2021-11-05 00:00:00
4,4,2021-12-19 00:00:00,2021-12-20 00:00:00
2,2,2021-09-29 00:00:00,2021-09-30 00:00:00
11,11,2021-11-25 00:00:00,2021-11-26 00:00:00
4,4,2021-12-25 00:00:00,2021-12-26 00:00:00
196,131,2021-12-21 00:00:00,2021-12-22 00:00:00
6,6,2021-11-12 00:00:00,2021-11-13 00:00:00
5,5,2021-11-03 00:00:00,2021-11-04 00:00:00
4,4,2021-10-29 00:00:00,2021-10-30 00:00:00
1584,1314,2021-12-12 00:00:00,2021-12-13 00:00:00
6,6,2021-11-08 00:00:00,2021-11-09 00:00:00
2,2,2021-12-02 00:00:00,2021-12-03 00:00:00
3,3,2021-10-25 00:00:00,2021-10-26 00:00:00
3,2,2021-12-10 00:00:00,2021-12-11 00:00:00
2,2,2021-11-02 00:00:00,2021-11-03 00:00:00
1,1,2021-10-16 00:00:00,2021-10-17 00:00:00
7,7,2021-11-27 00:00:00,2021-11-28 00:00:00
17,9,2021-11-11 00:00:00,2021-11-12 00:00:00
1,1,2021-11-30 00:00:00,2021-12-01 00:00:00
5,4,2021-12-07 00:00:00,2021-12-08 00:00:00
1,1,2021-11-17 00:00:00,2021-11-18 00:00:00
1,1,2021-12-17 00:00:00,2021-12-18 00:00:00
8,8,2021-10-22 00:00:00,2021-10-23 00:00:00
3,3,2021-12-14 00:00:00,2021-12-15 00:00:00
