id,twitter_query,followers_count,statuses_count,favourites_count,name,listed_count,friends_count,cluster,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg
8bfmeqz9fksbqal,BTC,194,1299,2980,ぴっころ,6,1313,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6367655396461487,0.18544968962669373,4.286409854888916
alokk0018,SOL,0,0,0,Alok Kumar🎏,0,0,cluster_4,,,,,,,,,,
amgorm16,BTC,138,1819,8922,Jamber💎#XRP❤️,1,1147,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.8706008791923523,0.24881550669670105,5.995582103729248
andr3w321,ETH2,0,0,0,Andrew Rennhack,0,0,cluster_4,,,,,,,,,,
anotherboytj12,LINK,0,0,0,AnotherboyTJ,0,0,cluster_4,,,,,,,,,,
ashukla09,LINK,0,0,0,Abhinav Shukla,0,0,cluster_4,,,,,,,,,,
azcantan8,BTC,3,636,471,Ozcan Tan,1,367,cluster_4,2.0,2.0,1.0,1.0,2.0,4.0,0.0,0.5782801806926727,0.11645390838384628,10.095491409301758
b_b_bcg,BTC,19,353,147,B.B.@bcg,0,145,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,
baykripto4,BTC,6,61,38,By Kripto,0,57,cluster_4,2.0,2.0,1.0,1.0,2.0,4.0,0.0,0.5910493284463882,0.1686049997806549,5.3751935958862305
bhinsights_,SHIB,0,0,0,BH Insights,0,0,cluster_4,,,,,,,,,,
binance_chainn,BTC,0,0,0,Binance Smart Chain Global,0,0,cluster_4,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,,,
blackp0702,BTC,73,53776,20092,BLACK_P,1,236,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568
chandesu888,ETH2,60,1848,938,チャン,0,101,cluster_4,1.0,1.0,3.0,1.0,4.0,2.0,0.0,,,
cielglorya,BTC,191,22769,2875,♡̷̷̷,2,3742,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7335431575775146,0.1395719200372696,5.584160804748535
cigdemk_34,BTC,87,1098,968,Çiğdem k.,0,27,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9591286778450012,0.36352023482322693,8.494977951049805
coingemdr,BTC,0,7,1,coingemdr,0,27,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6890892386436462,0.1804167479276657,9.232599258422852
criccrazyjohns,LINK,0,0,0,Johns.,0,0,cluster_4,,,,,,,,,,
criptonovato3,BTC,0,0,0,Cripto Novato,0,0,cluster_4,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,,,
cryptoandgains1,SOL,0,0,0,WAGMI-LAD,0,0,cluster_4,,,,,,,,,,
cryptoash_eth,ETH,353,1033,1898,CryptoAsh.eth 💀,2,335,cluster_4,4.0,4.0,2.0,1.0,3.0,8.0,0.0,0.7985846549272537,0.28763092309236526,5.539826512336731
cryptoking_365,ETH,0,0,0,Cryptomafia,0,0,cluster_4,,,,,,,,,,
cryptorektsceo,BTC,106,11439,57036,Wassie Son,2,63,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6002005934715271,0.15218409895896912,5.357705593109131
d_c_e_s,BTC,42,280,198,DeCentralized EqualizerS,0,9,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.08465848118066788,0.21057692170143127,5.363438129425049
damien92_nft,BTC,0,0,0,Damien | NEON PUNKS COLLECTION,0,0,cluster_4,2.0,2.0,1.0,1.0,2.0,4.0,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568
drdoubloon,BTC,557,4198,2334,DrDoubloon,1,1059,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.34978771209716797,0.137081578373909,4.774559020996094
ei_sda,ETH,0,0,0,そん,0,0,cluster_4,,,,,,,,,,
elzarengo,BTC,522,3183,6023,ElZarengo,2,152,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.4864864945411682,0.027027027681469917,13.200325012207031
ericpresillas,SHIB,0,0,0,GABRIEL,0,0,cluster_4,,,,,,,,,,
esseksmusic,LINK,0,0,0,Esseks (villains journey out now),0,0,cluster_4,,,,,,,,,,
f1h11uaiiq5b0av,BTC,4,418,96,شيماء,0,547,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9112065434455872,0.3523847460746765,3.633732795715332
face47031418,LINK,0,0,0,🇺🇸 Face Of America 🇺🇸,0,0,cluster_4,,,,,,,,,,
fegscholars,BTC,0,0,0,FEGscholars,0,0,cluster_4,,,,,,,,,,
gaeggul2go,BTC,7,67,184,개꾸리고,0,61,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,
ganioglubugraa,BTC,93,3736,18823,Buğra,0,201,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9593414068222046,0.25085270404815674,10.23266315460205
george01617393,BTC,87,7510,46168,George,2,518,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.3056996762752533,0.23032596707344055,6.0130462646484375
giannerys21,BTC,0,0,0,Giannerys Andreina ♡,0,0,cluster_4,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,,,
gongcuan,BTC,0,2,0,its meh,0,11,cluster_4,2.0,2.0,1.0,1.0,2.0,4.0,0.0,0.7219524681568146,0.295958012342453,6.545490980148315
gotanymorebtc,BTC,6,124,380,All-in ∞/21M,0,40,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.4976300895214081,0.1633167415857315,8.035518646240234
grecofilms3,BTC,0,1,0,Grecofilms,0,4,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,
hifilij,BTC,505,1051,4783,Paul Bugge,0,1555,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9365254640579224,0.28713899850845337,7.538407325744629
hsnktr38,BTC,35,736,842,Hsnktr,1,39,cluster_4,20.0,20.0,1.0,1.0,2.0,40.0,0.0,0.35844979286193845,0.21218023151159288,12.017830562591552
illu_te,BTC,16,255,370,illu_te,0,169,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6685861349105835,0.20864063501358032,5.601444721221924
ilyas72781801,BTC,0,15,13,ilyas,0,25,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9591286778450012,0.36352023482322693,8.494977951049805
jackjones9166,BTC,0,313,780,jack,0,0,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.4591043293476105,0.14549756050109863,5.123940467834473
jerrijegna,ETH2,0,0,0,Yerus K,0,0,cluster_4,,,,,,,,,,
jiyanaydn0,BTC,3,15,129,Jiyan,0,65,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.8939258456230164,0.18045537173748016,10.156396865844727
juanvillar__,BTC,13,259,729,juanvillar__,0,230,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.18233607709407806,0.24767519533634186,8.741830825805664
juls_bllrd,BTC,18,101,422,Jules Bllrd,0,106,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.941375195980072,0.3542864918708801,8.023185729980469
kentuckyhot,SHIB,0,0,0,Ladies of BBN,0,0,cluster_4,,,,,,,,,,
kkth_30,BTC,51,7385,4034,December big wins cutie 🍀🍀🍀🍀🍀🍀🍀,0,1201,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7335431575775146,0.1395719200372696,5.584160804748535
komaedameow,SOL,0,0,0,solace,0,0,cluster_4,,,,,,,,,,
laves0707,LINK,0,0,0,Seval,0,0,cluster_4,,,,,,,,,,
liliannelart,LINK,0,0,0,Liliannel 🧣🗝,0,0,cluster_4,,,,,,,,,,
loopmasters,LINK,0,0,0,Loopmasters,0,0,cluster_4,,,,,,,,,,
loreote86,SOL,0,0,0,Lore💙💙,0,0,cluster_4,,,,,,,,,,
mariaes78238517,SOL,0,0,0,Maria Estrada,0,0,cluster_4,,,,,,,,,,
matty_wils84,BTC,673,1451,1986,Algo Dude,3,767,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.34978771209716797,0.137081578373909,4.774559020996094
matumoto_arrows,LINK,0,0,0,松本いちか,0,0,cluster_4,,,,,,,,,,
mayumayurii,ETH2,1805,4294,3660,Mayu,4,1346,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.8494969606399536,0.2080674022436142,4.390514850616455
md_kks,BTC,0,0,0,Md Ruhul Kks,0,0,cluster_4,,,,,,,,,,
mdbuckley,LINK,0,0,0,Mike Buckley,0,0,cluster_4,,,,,,,,,,
mertoglunergis,BTC,1,382,0,Nergis Mertoğlu,0,0,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.5580641627311707,0.07184530794620514,5.446722507476807
missufeiscool,BTC,35,3304,766,IJOY 🎅,0,1099,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7335431575775146,0.1395719200372696,5.584160804748535
mistresslroyale,LINK,0,0,0,Mistress Royale - Crawley & Gatwick till 06.12,0,0,cluster_4,,,,,,,,,,
mr_xxxa7,BTC,3,56,44,xxxa7,0,36,cluster_4,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.1800871193408966,0.24858473241329193,6.311939239501953
mrhye2009,BTC,24,363,643,Mr.Hye,1,119,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6316166520118713,0.21666574478149414,6.089613914489746
nawal_sitaram,BTC,22,592,1037,Sitaram Nawal,0,15,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,
nawalelzoghbi,LINK,0,0,0,Nawal El Zoghbi - نوال الزغبي,0,0,cluster_4,,,,,,,,,,
nick__pulos,LINK,0,0,0,Nick,0,0,cluster_4,,,,,,,,,,
ominosuke0620,BTC,465,4462,2395,きょーのすけ,1,474,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,
opposition_ke,BTC,21220,79431,369821,The opposition 🇰🇪,4,6818,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.3741934895515442,0.1490153819322586,4.561715126037598
orange7565,BTC,62,238,211,蜜柑,3,60,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,
ovis00508471,ETH2,0,0,0,Ovis,0,0,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6148352026939392,0.0996868908405304,5.434202671051025
r00t22,BTC,33,52,35,Booster Crypto,0,47,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.8416720628738403,0.22213102877140045,8.547457695007324
rantisulasmy,BTC,2229,61444,21242,Ranti Sulasmi,2,1966,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7335431575775146,0.1395719200372696,5.584160804748535
reyesthegod,DOGE,0,0,0,Reyes but cool 😎,0,0,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.4801647663116455,0.03967049717903137,8.374608993530273
rivaldy31352711,ETH,0,0,0,rivaldy,0,0,cluster_4,,,,,,,,,,
rvnmktman1,ETH,482,3175,5180,Quothing 🅁🅅🄽 🌴🕊,3,822,cluster_4,2.0,3.0,6.0,2.0,8.0,5.0,-0.2,0.40940162539482117,0.20773235708475113,7.540367364883423
sab0705,BTC,160,8932,12988,さぶ,1,427,cluster_4,2.0,2.0,1.0,1.0,2.0,4.0,0.0,,,
satoshialtcoin,BTC,47,156,598,Satoshi,1,71,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9983054995536804,0.4429507553577423,8.23231315612793
sayak75,ETH,0,0,0,Kripto Uzmanı,0,0,cluster_4,,,,,,,,,,
sendgod_,BTC,37,847,7245,Send God,1,26,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.28339940309524536,0.23567186295986176,5.861738204956055
serdarcenk01,DOGE,80,331,611,Trader SERDAR,0,59,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.6120575666427612,0.2535095810890198,9.125858306884766
sergfynd,BTC,38,432,601,Сергей Гапоненко,2,675,cluster_4,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.3262900114059448,0.09293314814567566,4.81115198135376
shahid123galaxy,BTC,111,2976,13145,Shahid - XRP Endgame,2,531,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9999415874481201,0.39399728178977966,6.698208808898926
shenyue0808,BTC,3,708,800,#Tyche,0,182,cluster_4,2.0,2.0,1.0,1.0,2.0,4.0,0.0,0.7039591073989868,0.23021109402179718,4.829964280128479
slowmist_team,BTC,7502,548,96,SlowMist,97,141,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.008620654232800007,0.4010644555091858,7.054285526275635
sonoira_,LINK,0,0,0,ira🐉,0,0,cluster_4,,,,,,,,,,
speckycrab,ETH,0,0,0,J D 🍌💀,0,0,cluster_4,,,,,,,,,,
taoluekoshher,BTC,297,48862,46591,Taolue,3,4017,cluster_4,5.0,5.0,1.0,1.0,2.0,10.0,0.0,0.4929012060165405,0.01419756468385458,3.193453550338745
tekmillettr1,BTC,2,11,55,Muhammet Gökgöz,0,28,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.801397442817688,0.3640884757041931,9.105535507202148
thanhxuntrng6,BTC,0,60,66,Thanh XuânTrưng,0,65,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.913897693157196,0.24577496945858002,6.674126148223877
thatslitas,SOL,0,0,0,feia,0,0,cluster_4,,,,,,,,,,
thescrapedplate,BTC,3,8,4,Ray Finkle,0,43,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9415934681892395,0.20424464344978333,4.459606647491455
tiagopzknews,LINK,0,0,0,TIAGO PZK NEWS,0,0,cluster_4,,,,,,,,,,
toribird_btc,BTC,1275,11315,25324,おすわりとりバード🦜,13,670,cluster_4,3.0,3.0,1.0,1.0,2.0,6.0,0.0,0.6456560492515564,0.14889603853225708,6.264550685882568
txhodlmb,ETH2,0,0,0,Megan Brooks-Anderson,0,0,cluster_4,,,,,,,,,,
univervall,SOL,0,0,0,Valu,0,0,cluster_4,,,,,,,,,,
vladimirs_btc,BTC,49,380,1149,VladimirS,0,396,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7123125791549683,0.1499822437763214,7.395633697509766
wrealu24_pl,LINK,0,0,0,wRealu24.pl,0,0,cluster_4,,,,,,,,,,
wwarrior_1,BTC,13360,49918,143032,Weekend Warrior ☝️🐉,27,470,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.12147390842437744,0.1651833951473236,5.999556541442871
xiaoqi37879140,BTC,0,26,33,小柒,0,15,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.575378954410553,0.15075795352458954,6.406480312347412
xtroc,SHIB,0,0,0,Christopher Adejoh,0,0,cluster_4,,,,,,,,,,
yaaaaarab___,BTC,19,1269,1016,في يوما ما 🌹,0,49,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,
yrnleakk,LINK,0,0,0,malik,0,0,cluster_4,,,,,,,,,,
yummienthusiast,ETH,0,0,0,TheYummiEnthusiast,0,0,cluster_4,,,,,,,,,,
yunus57520418,BTC,8,671,1125,yunus Erzincanlı,0,50,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.914279580116272,0.39841726422309875,10.658272743225098
zadawins_,BTC,75,2928,543,ઇ zada,0,1237,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7335431575775146,0.1395719200372696,5.584160804748535
01jehujen,DOGE,0,0,0,J E N N,0,0,cluster_4,,,,,,,,,,
0555taha,BTC,28,642,109,bal10cuk,0,43,cluster_4,1.0,1.0,3.0,1.0,4.0,2.0,0.0,0.8977760672569275,0.1966165006160736,9.972681045532227
akinrinlolabolu,SOL,0,0,0,BAtife.,0,0,cluster_4,,,,,,,,,,
alpha_jmont,LINK,0,0,0,Alpha_Jmont,0,0,cluster_4,,,,,,,,,,
aminjoulie,BTC,121,726,636,Amin Joli,0,328,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.4375925064086914,0.20314078032970428,5.558718204498291
ash_cityxx,BTC,41,6188,782,nbw,0,2688,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7335431575775146,0.1395719200372696,5.584160804748535
asmamoradii,BTC,0,160,200,Asma moradi,0,7,cluster_4,2.0,2.0,1.0,1.0,2.0,4.0,0.0,,,
