id,twitter_query,followers_count,statuses_count,favourites_count,name,listed_count,friends_count,cluster,messages_sent,messages_received,out_degree,in_degree,degree,messages_total,contribution_index,sentiment_avg,emotionality_avg,complexity_avg,start_time_,end_time_
magstrology,SOL,0,0,0,astro memes for evil teens,0,0,cluster_4,,,,,,,,,,,2021-07-12 00:00:00,2021-07-13 00:00:00
tunefmofficial,BTC,111750,1535,39345,Tune.FM | ɈAM | 🎧🎵.FM,157,19290,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9889867305755615,0.3661251664161682,6.015672206878662,2021-09-29 00:00:00,2021-09-30 00:00:00
saraboychuk_,ETH,3408,4370,19737,Sara Boychuk,41,2673,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9158234596252441,0.2731519937515259,5.921774864196777,2021-09-29 00:00:00,2021-09-30 00:00:00
cloud_nft_api,BTC,576,13,22,Cloud NFT,0,32,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.9798192977905273,0.21236984431743622,5.505242824554443,2021-10-08 00:00:00,2021-10-09 00:00:00
smaxnft,ETH,470,687,1298,Smax NFT,0,400,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.7821858525276184,0.13955427706241608,5.255857467651367,2021-10-14 00:00:00,2021-10-15 00:00:00
sixandlaura,LINK,2027,30206,29794,Laura Henderson,23,4169,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.005613178480416536,0.4585113823413849,6.425748348236084,2021-10-16 00:00:00,2021-10-17 00:00:00
officialabq,ETH2,1776,42844,172558,Sam Albuquerque,22,1297,cluster_4,1.0,1.0,3.0,1.0,4.0,2.0,0.0,0.14667908847332,0.20197416841983795,4.968456268310547,2021-10-22 00:00:00,2021-10-23 00:00:00
sminemtwin,ETH2,109,707,21250,sminemtwin,0,1259,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.20202937722206116,0.23356176912784576,6.070394039154053,2021-10-22 00:00:00,2021-10-23 00:00:00
iotdevnet_dave,ETH2,331,6746,2580,dave,4,1529,cluster_4,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.44854480028152466,0.10285428166389465,4.035412788391113,2021-10-22 00:00:00,2021-10-23 00:00:00
icannot_enough,ETH2,0,0,0,James Stephenson,0,0,cluster_4,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,,,,2021-10-22 00:00:00,2021-10-23 00:00:00
