src,dst,messages_sent,messages_received,messages_total,contribution_index
3mro3ziz,shy5oo,0,1,1,-1.0
adriantitire,adriantitire,3,3,6,0.0
ark_of_noah7,ark_of_noah7,4,4,8,0.0
armandawaren8,armandawaren8,1,1,2,0.0
arthur19425849,arthur19425849,1,1,2,0.0
baemoncityx,baemoncityx,1,1,2,0.0
based_dominican,based_dominican,1,1,2,0.0
bloodeagle16,bloodeagle16,1,1,2,0.0
brenodinizrn,paulohe32558504,0,1,1,-1.0
briankgreene,briankgreene,2,2,4,0.0
buddyfox33,buddyfox33,1,1,2,0.0
can20yo,can20yo,1,1,2,0.0
cauerlius,cauerlius,1,1,2,0.0
chandesu888,82rt_03,1,0,1,1.0
chiragbarjatyaa,sabhya_purush,0,1,1,-1.0
choi8haru,choi8haru,1,1,2,0.0
coinqk,coinqk,1,1,2,0.0
cryptoest2017,cryptoest2017,1,1,2,0.0
denizfil8,denizfil8,1,1,2,0.0
dikaandikan,dikaandikan,1,1,2,0.0
dougsandlin,dougsandlin,1,1,2,0.0
ecrisiofx,kaydohs,0,1,1,-1.0
ekrem19056,ekrem19056,1,1,2,0.0
elysium1337kuta,elysium1337kuta,1,1,2,0.0
finance_flo,finance_flo,1,1,2,0.0
frbmohsen,frbmohsen,1,1,2,0.0
gazi54229692,gazi54229692,1,1,2,0.0
gerrysalutzz,gerrysalutzz,1,1,2,0.0
guanghai310,guanghai310,1,1,2,0.0
halilefebilgi1,halilefebilgi1,1,1,2,0.0
heollyeah,heollyeah,1,1,2,0.0
hoanganhquocdf1,hoanganhquocdf1,1,1,2,0.0
jaemcityxkw,jaemcityxkw,2,2,4,0.0
jamessa66911052,jamessa66911052,1,1,2,0.0
kagannkarakuss,kagannkarakuss,1,1,2,0.0
kaya_coins,kaya_coins,1,1,2,0.0
kevindotcar,kevindotcar,1,1,2,0.0
l3ngjoo,l3ngjoo,2,2,4,0.0
magnaelin3,magnaelin3,1,1,2,0.0
markie68mm,markie68mm,1,1,2,0.0
miss_fx_trader,miss_fx_trader,1,1,2,0.0
mohamad59447349,mohamad59447349,1,1,2,0.0
mshadaab09,mshadaab09,1,1,2,0.0
muhammadfahd91,muhammadfahd91,1,1,2,0.0
nileshvasava363,nileshvasava363,1,1,2,0.0
ohclickk,citadellecrypto,1,0,1,1.0
omurakkoyunn,omurakkoyunn,1,1,2,0.0
ozzturkey,ozzturkey,1,1,2,0.0
panda_crunch,panda_crunch,1,1,2,0.0
piti_pui,game_of_allure,0,1,1,-1.0
pudelkonicosci,pudelkonicosci,1,1,2,0.0
qepanq,qepanq,1,1,2,0.0
rameshmsy,foundcrypto,1,0,1,1.0
replika_c,replika_c,3,3,6,0.0
royalnft86,royalnft86,1,1,2,0.0
ruhhast79541258,ruhhast79541258,1,1,2,0.0
sadberlin,sadberlin,2,2,4,0.0
saeedshariati63,saeedshariati63,1,1,2,0.0
saucycrypto,ollywickham,0,1,1,-1.0
sessiz_gecce,sessiz_gecce,1,1,2,0.0
sh17443163,sh17443163,1,1,2,0.0
shoeraguel,shoeraguel,1,1,2,0.0
simpleinvestor4,simpleinvestor4,1,1,2,0.0
slpwnedya,slpwnedya,1,1,2,0.0
snitchlineco,snitchlineco,1,1,2,0.0
solyommark,solyommark,1,1,2,0.0
turgayakts,turgayakts,1,1,2,0.0
uaserkan1,uaserkan1,1,1,2,0.0
unalbadur1316,unalbadur1316,1,1,2,0.0
unitedredss1,unitedredss1,1,1,2,0.0
yazeed_4334,yazeed_4334,1,1,2,0.0
7zvbwdomczsukyj,7zvbwdomczsukyj,1,1,2,0.0
_entrust_algo_,_entrust_algo_,1,1,2,0.0
alexhil54915753,alexhil54915753,1,1,2,0.0
altcoinpump4,altcoinpump4,1,1,2,0.0
assistend,assistend,1,1,2,0.0
aubdmv4ghbes5uz,aubdmv4ghbes5uz,1,1,2,0.0
avcdcheesetea,avcdcheesetea,1,1,2,0.0
berk_car,berk_car,1,1,2,0.0
bikkandi,bikkandi,1,1,2,0.0
bilgin_guleser,bilgin_guleser,1,1,2,0.0
bitfarmsnetwork,brew_kris,0,1,1,-1.0
btc_rehab,btc_rehab,20,20,40,0.0
caracoliiix,caracoliiix,1,1,2,0.0
chelsea0000020,ishib_official,0,1,1,-1.0
cloud_nft_api,cloud_nft_api,1,1,2,0.0
coinexactly,ahmetkk023,0,1,1,-1.0
crypto_potato,tommycperez,0,1,1,-1.0
cryptostreetbe9,sashiminakamoto,1,0,1,1.0
dastanmetin,dastanmetin,2,2,4,0.0
davidwi39760094,casperian7,1,0,1,1.0
diegocarreras81,diegocarreras81,1,1,2,0.0
dogedashmaxi,dogedashmaxi,5,5,10,0.0
ecrysf,ecrysf,1,1,2,0.0
ernealist,ernealist,1,1,2,0.0
freebitco,yuvikamra1,0,1,1,-1.0
hammywhamtwo,hammywhamtwo,1,1,2,0.0
hiver0x0y1,hiver0x0y1,2,2,4,0.0
iellamabanprepu,petitgladiatus1,1,0,1,1.0
jimmykwilson82,jimmykwilson82,1,1,2,0.0
july5688,july5688,2,2,4,0.0
king1384xxx,king1384xxx,1,1,2,0.0
kyoutyan_btc,kyoutyan_btc,1,1,2,0.0
lu1sgraca,lu1sgraca,3,3,6,0.0
luckyuuji,luckyuuji,1,1,2,0.0
magicboy903,magicboy903,1,1,2,0.0
marasescuandre3,webdollar_io,1,0,1,1.0
moretmarcio,moretmarcio,1,1,2,0.0
muhammet_cp20,muhammet_cp20,1,1,2,0.0
muratkaya86,denizrmak,1,0,1,1.0
nekontsubasa,nekontsubasa,1,1,2,0.0
nnongpla,nnongpla,1,1,2,0.0
nolanhummel,ricardoae,0,1,1,-1.0
nomadblvd,schoolsstillout,0,1,1,-1.0
omer_tokatlii,omer_tokatlii,1,1,2,0.0
onursubrk,onursubrk,2,2,4,0.0
priest0xth,priest0xth,1,1,2,0.0
priyantorotrie,priyantorotrie,1,1,2,0.0
quantumtacchi,quantumtacchi,1,1,2,0.0
qwerty29051971,qwerty29051971,1,1,2,0.0
sachyertorte,sachyertorte,1,1,2,0.0
shiva200022,shiva200022,1,1,2,0.0
