id,friends_count,favourites_count,name,followers_count,listed_count,twitter_query,statuses_count,original_dataset,cluster
55narz,0,0,Ayden🐊,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
aaravku92319581,0,0,Aarav Kumar,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
aurongalletita,0,0,Nani🤡,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
chenchillafps,0,0,alex,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
drewsarmiento,0,0,Drew Sarmiento,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
elenatrueba100,0,0,Elena Trueba,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
emregng76807230,0,0,Beyhan Evliyim,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
gottderaffen,0,0,Hannu Peters 💉💉,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
hamelin123,0,0,Hamelin,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
igsmx,0,0,Isidro⚡️,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
irishdailymail,0,0,The Irish Daily Mail,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
kk_krshn,25,263,Krishna Rajput,46,0,SHIB,56,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mc_anonra,4,12,Пацанчик норм,1,0,SHIB,13,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mehtapali14,0,0,Mehtap Halil evliciftiz,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
messiasgneto,0,0,Messias Ottoni,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
motif04,0,0,Mo,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
nadavedits,0,0,NadavB,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
natedoggbounty,0,0,Nate Dogg Tha Bounty Hunter,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
opaliajm,0,0,오팔리아,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pennycandynft,0,0,Penny Candy,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
punishedhavoc,0,0,Forsaken Spooky Sloth,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
tarekfatah,0,0,Tarek Fatah,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
thilopes10,527,20617,Thi Lopes,95423,69,SOL,8942,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
whoisjavianyway,382,31567,ıʌɐɾ,492,9,SOL,44626,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
wickedderb,0,0,derb.eth,0,0,ETH2,0,ETH2_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
andrearo_98,425,5186,Andrea Rosell,306,1,SOL,5622,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
animalbz,0,0,Px🔥🐝,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
aubryandrews,0,0,Aubry Andrews,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
bellatormma,0,0,BellatorMMA,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
cdnnotify,0,0,CDN Notify 🇨🇦,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
gafeu2,0,0,gafeu² 🎄🪐,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
jardeldgekste,201,4268,Maikel Lenselink,70,1,SHIB,4801,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
jlopezf74,0,0,dry,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
kulikudu,1711,13663,Pepe Mediavilla Fan Account,356,3,SOL,44965,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
la,0,0,d,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
lordevoidemort,0,0,Lord Voldemort,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mountvitruvius,0,0,MV,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
oboh_innocent,792,342,Innocent Oboh,45,1,SHIB,974,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
p_q____sky,0,0,ゑいむ,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pedrormello,0,0,Pê,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
pikminbloom,0,0,Pikmin Bloom,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
skinnyminniexo2,0,0,Ivory Ghost 👻 $3 Onlyfans and PocketStars 🤑 10k,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
xristina_kampa,0,0,xristina,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
deusxmach1na,0,0,TheActuator,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
hodl2moon1,89,486,Ash,15,0,SHIB,557,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
jimmy_jimin_lee,0,0,JIMMY_JIMIN_LEE,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
leelee_july,2233,109184,Lي 🎄,15437,3,SOL,69467,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
maxcordiez,0,0,Maxence Cordiez,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mefistofelleess,0,0,Mefistofeles,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
mikokaso_,0,0,eme,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
roulla72,0,0,ε.κουμουνδουροπουλου,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
thhappyhawaiian,0,0,TheHappyHawaiian,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
tohsin_s,0,0,✧Rhoda♡♡,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
treasure_kep1er,105,13973,🤞🏻SURPRISE DM and give me KEP1ER ALBUM🤞🏻,53,0,SOL,2649,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
chewymulti,965,39484,connect: chewy WA DA DA D-8,524,1,SOL,24480,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
crypto_buz_z,0,0,Crypto ₿uz z,0,0,DOGE,0,DOGE_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
drmiguelmarcos,0,0,Miguel Marcos,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ekaette_murphy,0,0,Murphy Ekaette,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
lorenzoguerini5,973,49802,Lorenzo Guerini Rocco,611,0,SOL,33552,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
merve82012480,1996,48826,Merve,856,0,SOL,66819,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
safepoo32,197,2063,Safepoo,114,1,SHIB,736,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
sarosarroo,0,0,Saró,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
simonemarquesf,395,10305,Simone B,128,4,SOL,6169,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
sk1k4sl,0,0,𝕋𝕒𝕘..𓈒,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
thetrillionlife,0,0,The Trillionaire Life,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
tkr___56,0,0,まるる,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
waelthfc,0,0,Wael,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
2nd_placer,0,0,TheSecondPlacer,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
benihalldon,0,0,Béni⛱,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ferhatmhenni,0,0,FERHAT MEHENNI,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
q94028196,730,9992,Ali Emir,463,0,SOL,3620,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
ric84celo,0,0,ric84celo,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
saay_horang,0,0,ღ세이ღ,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
viento_kamikaze,833,45308,KIC 8462852,268,7,SOL,39901,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
abzinhoo,0,0,Itachii.eth,0,0,ETH,0,ETH_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
aliciamimundo,0,0,MaléficaReturns✍️,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
cryptobankafric,0,0,CryptoBank Africa,0,0,SHIB,0,SHIB_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
dynastyend,0,0,Dynasty gone,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
earlanxi,0,0,Earlanxi,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
foxalfa91,0,0,AieConfiance : Grand Reporter autoproclamé 🥸💉💉,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
fuelgrannie,0,0,fuelgrannie,0,0,LINK,0,LINK_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
graceandfrankie,0,0,Grace and Frankie,0,0,SOL,0,SOL_1031_1107_1104_1128_1205_1212_1219_1226_annot_daily_04,cluster_0
