Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2017-02-22,2017-02-22,1117.43994140625,136100000,0,-2,2,-2,-0.7999999999999999,BTC
2017-02-23,2017-02-23,1166.719970703125,189454000,2,-2,2,-2,-0.3999999999999999,BTC
2017-02-24,2017-02-24,1173.6800537109375,330759008,2,-2,2,-2,-0.3999999999999999,BTC
2017-02-25,2017-02-25,1143.8399658203125,139960992,0,0,-2,-2,-1.0,BTC
2017-02-26,2017-02-26,1165.199951171875,116486000,2,0,2,-2,0.20000000000000007,BTC
2017-02-27,2017-02-27,1179.969970703125,131570000,2,0,2,-2,0.20000000000000007,BTC
2017-02-28,2017-02-28,1179.969970703125,184956000,2,0,0,-2,-0.19999999999999996,BTC
2017-03-01,2017-03-01,1222.5,229056992,2,0,2,-2,0.20000000000000007,BTC
2017-03-02,2017-03-02,1251.010009765625,368275008,2,0,2,-2,0.20000000000000007,BTC
2017-03-03,2017-03-03,1274.989990234375,315739008,2,0,2,-2,0.20000000000000007,BTC
2017-03-04,2017-03-04,1255.1500244140625,183270000,2,0,-2,-2,-0.6,BTC
2017-03-05,2017-03-05,1267.1199951171875,134127000,2,0,2,-2,0.20000000000000007,BTC
2017-03-06,2017-03-06,1272.8299560546875,153656992,2,0,2,-2,0.20000000000000007,BTC
2017-03-07,2017-03-07,1223.5400390625,291256000,0,0,-2,-2,-1.0,BTC
2017-03-08,2017-03-08,1150.0,332603008,0,0,-2,-2,-1.0,BTC
2017-03-09,2017-03-09,1188.489990234375,212283008,0,0,2,-2,-0.19999999999999996,BTC
2017-03-10,2017-03-10,1116.719970703125,563795968,0,0,-2,-2,-1.0,BTC
2017-03-11,2017-03-11,1175.8299560546875,283320000,0,0,2,-2,-0.19999999999999996,BTC
2017-03-12,2017-03-12,1221.3800048828125,227176000,0,0,2,-2,-0.19999999999999996,BTC
2017-03-13,2017-03-13,1231.9200439453125,380276992,0,0,2,-2,-0.19999999999999996,BTC
2017-03-14,2017-03-14,1240.0,245306000,0,0,2,-2,-0.19999999999999996,BTC
2017-03-15,2017-03-15,1249.6099853515625,297804992,0,0,2,-2,-0.19999999999999996,BTC
2017-03-16,2017-03-16,1187.81005859375,638568000,0,0,-2,-2,-1.0,BTC
2017-03-17,2017-03-17,1100.22998046875,706598976,0,2,-2,-2,-0.4,BTC
2017-03-18,2017-03-18,973.8179931640625,621302016,0,2,-2,-2,-0.4,BTC
2017-03-19,2017-03-19,1036.739990234375,406648000,0,0,2,-2,-0.19999999999999996,BTC
2017-03-20,2017-03-20,1054.22998046875,286529984,0,0,2,-2,-0.19999999999999996,BTC
2017-03-21,2017-03-21,1120.5400390625,337391008,0,0,2,-2,-0.19999999999999996,BTC
2017-03-22,2017-03-22,1049.1400146484375,380840992,0,0,-2,-2,-1.0,BTC
2017-03-23,2017-03-23,1038.5899658203125,248540000,0,0,-2,-2,-1.0,BTC
2017-03-24,2017-03-24,937.52001953125,491038016,0,2,-2,-2,-0.4,BTC
2017-03-25,2017-03-25,972.7789916992188,435803008,0,0,2,-2,-0.19999999999999996,BTC
2017-03-26,2017-03-26,966.7249755859375,303668000,0,0,-2,-2,-1.0,BTC
2017-03-27,2017-03-27,1045.77001953125,372535008,0,0,2,-2,-0.19999999999999996,BTC
2017-03-28,2017-03-28,1047.1500244140625,326332000,0,0,2,-2,-0.19999999999999996,BTC
2017-03-29,2017-03-29,1039.969970703125,298457984,0,0,-2,-2,-1.0,BTC
2017-03-30,2017-03-30,1026.4300537109375,352968992,0,0,-2,-2,-1.0,BTC
2017-03-31,2017-03-31,1071.7900390625,447287008,0,0,2,-2,-0.19999999999999996,BTC
2017-04-01,2017-04-01,1080.5,289633984,0,0,2,-2,-0.19999999999999996,BTC
2017-04-02,2017-04-02,1102.1700439453125,514187008,0,0,2,-2,-0.19999999999999996,BTC
2017-04-03,2017-04-03,1143.81005859375,580444032,0,0,2,-2,-0.19999999999999996,BTC
2017-04-04,2017-04-04,1133.25,436310016,0,0,-2,-2,-1.0,BTC
2017-04-05,2017-04-05,1124.780029296875,414784000,0,0,-2,-2,-1.0,BTC
2017-04-06,2017-04-06,1182.6800537109375,511222016,0,0,2,-2,-0.19999999999999996,BTC
2017-04-07,2017-04-07,1176.9000244140625,317022016,2,0,-2,-2,-0.6,BTC
2017-04-08,2017-04-08,1175.949951171875,209312000,2,0,-2,-2,-0.6,BTC
2017-04-09,2017-04-09,1187.8699951171875,242343008,2,0,2,-2,0.20000000000000007,BTC
2017-04-10,2017-04-10,1187.1300048828125,215883008,0,0,-2,-2,-1.0,BTC
2017-04-11,2017-04-11,1205.010009765625,216182000,2,0,2,-2,0.20000000000000007,BTC
2017-04-12,2017-04-12,1200.3699951171875,288702016,2,0,-2,-2,-0.6,BTC
2017-04-13,2017-04-13,1169.280029296875,351968992,0,0,-2,-2,-1.0,BTC
2017-04-14,2017-04-14,1167.5400390625,254827008,0,0,-2,-2,-1.0,BTC
2017-04-15,2017-04-15,1172.52001953125,203559008,0,0,2,-2,-0.19999999999999996,BTC
2017-04-16,2017-04-16,1182.93994140625,183231008,0,0,2,-2,-0.19999999999999996,BTC
2017-04-17,2017-04-17,1193.9100341796875,253206000,0,0,2,2,1.0,BTC
2017-04-18,2017-04-18,1211.6700439453125,270524000,0,0,2,2,1.0,BTC
2017-04-19,2017-04-19,1210.2900390625,288060992,0,0,-2,2,0.19999999999999996,BTC
2017-04-20,2017-04-20,1229.0799560546875,315108000,0,0,2,2,1.0,BTC
2017-04-21,2017-04-21,1222.050048828125,272167008,0,0,-2,2,0.19999999999999996,BTC
2017-04-22,2017-04-22,1231.7099609375,249320000,0,0,2,2,1.0,BTC
2017-04-23,2017-04-23,1207.2099609375,258951008,0,0,-2,2,0.19999999999999996,BTC
2017-04-24,2017-04-24,1250.1500244140625,235806000,0,0,2,2,1.0,BTC
2017-04-25,2017-04-25,1265.489990234375,242556000,0,-2,2,2,0.4,BTC
2017-04-26,2017-04-26,1281.0799560546875,329631008,0,-2,2,2,0.4,BTC
2017-04-27,2017-04-27,1317.72998046875,449196992,2,-2,2,2,0.8,BTC
2017-04-28,2017-04-28,1316.47998046875,527488992,2,-2,-2,2,0.0,BTC
2017-04-29,2017-04-29,1321.7900390625,422705984,2,0,2,2,1.4,BTC
2017-04-30,2017-04-30,1347.8900146484375,413115008,2,-2,2,2,0.8,BTC
2017-05-01,2017-05-01,1421.5999755859375,713624000,2,-2,2,2,0.8,BTC
2017-05-02,2017-05-02,1452.8199462890625,477337984,2,-2,2,2,0.8,BTC
2017-05-03,2017-05-03,1490.0899658203125,583795968,2,-2,2,2,0.8,BTC
2017-05-04,2017-05-04,1537.6700439453125,933548992,2,-2,2,2,0.8,BTC
2017-05-05,2017-05-05,1555.449951171875,946035968,2,-2,2,2,0.8,BTC
2017-05-06,2017-05-06,1578.800048828125,582529984,2,0,2,2,1.4,BTC
2017-05-07,2017-05-07,1596.7099609375,1080029952,2,0,2,2,1.4,BTC
2017-05-08,2017-05-08,1723.3499755859375,1340320000,2,-2,2,2,0.8,BTC
2017-05-09,2017-05-09,1755.3599853515625,1167920000,2,-2,2,2,0.8,BTC
2017-05-10,2017-05-10,1787.1300048828125,915723008,2,0,2,2,1.4,BTC
2017-05-11,2017-05-11,1848.5699462890625,799489984,2,0,2,2,1.4,BTC
2017-05-12,2017-05-12,1724.239990234375,740984000,2,0,-2,2,0.6,BTC
2017-05-13,2017-05-13,1804.9100341796875,579635008,2,0,2,2,1.4,BTC
2017-05-14,2017-05-14,1808.9100341796875,437196000,2,0,2,2,1.4,BTC
2017-05-15,2017-05-15,1738.4300537109375,731529024,0,0,-2,2,0.19999999999999996,BTC
2017-05-16,2017-05-16,1734.449951171875,959044992,0,0,-2,2,0.19999999999999996,BTC
2017-05-17,2017-05-17,1839.0899658203125,1064729984,0,0,2,2,1.0,BTC
2017-05-18,2017-05-18,1888.6500244140625,894321024,0,0,2,2,1.0,BTC
2017-05-19,2017-05-19,1987.7099609375,1157289984,0,0,2,2,1.0,BTC
2017-05-20,2017-05-20,2084.72998046875,961336000,0,-2,2,2,0.4,BTC
2017-05-21,2017-05-21,2041.199951171875,1147859968,0,0,-2,2,0.19999999999999996,BTC
