Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2017-11-29,2017-11-29,0.0020800000056624413,11077200,0,0,-2,-2,-1.0,DOGE
2017-11-30,2017-11-30,0.002078999998047948,4919490,0,0,-2,-2,-1.0,DOGE
2017-12-01,2017-12-01,0.002148000057786703,5258110,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-02,2017-12-02,0.0021490000654011965,4978180,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-03,2017-12-03,0.002222999930381775,4751640,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-04,2017-12-04,0.0024629998952150345,6307150,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-05,2017-12-05,0.0024790000170469284,8772420,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-06,2017-12-06,0.0026630000211298466,9047960,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-07,2017-12-07,0.0027199999894946814,15759300,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-08,2017-12-08,0.002778999973088503,11797600,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-09,2017-12-09,0.002616999903693795,6564530,0,0,-2,-2,-1.0,DOGE
2017-12-10,2017-12-10,0.0025470000691711903,5614920,0,0,-2,-2,-1.0,DOGE
2017-12-11,2017-12-11,0.0027979998849332333,7017140,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-12,2017-12-12,0.00330400001257658,19228600,0,-2,2,-2,-0.7999999999999999,DOGE
2017-12-13,2017-12-13,0.003461000043898821,31150900,2,-2,2,-2,-0.3999999999999999,DOGE
2017-12-14,2017-12-14,0.0037090000696480274,23426200,2,-2,2,-2,-0.3999999999999999,DOGE
2017-12-15,2017-12-15,0.0037620000075548887,19043800,2,-2,2,-2,-0.3999999999999999,DOGE
2017-12-16,2017-12-16,0.005932999774813652,136352992,2,-2,2,-2,-0.3999999999999999,DOGE
2017-12-17,2017-12-17,0.00598399993032217,99417200,2,-2,2,-2,-0.3999999999999999,DOGE
2017-12-18,2017-12-18,0.006432999856770039,44158800,2,-2,2,-2,-0.3999999999999999,DOGE
2017-12-19,2017-12-19,0.005665999837219715,38885700,2,0,-2,-2,-0.6,DOGE
2017-12-20,2017-12-20,0.006661000195890665,67820000,2,0,2,-2,0.20000000000000007,DOGE
2017-12-21,2017-12-21,0.007424999959766865,159154000,2,-2,2,-2,-0.3999999999999999,DOGE
2017-12-22,2017-12-22,0.006053999997675419,63693900,0,0,-2,-2,-1.0,DOGE
2017-12-23,2017-12-23,0.007259000092744827,70143104,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-24,2017-12-24,0.008581999689340591,143767008,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-25,2017-12-25,0.008930999785661697,178008992,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-26,2017-12-26,0.009410999715328217,124427000,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-27,2017-12-27,0.008871999569237232,63625500,0,0,-2,-2,-1.0,DOGE
2017-12-28,2017-12-28,0.008485999889671803,51201500,0,0,-2,-2,-1.0,DOGE
2017-12-29,2017-12-29,0.00939099956303835,62474900,0,0,2,-2,-0.19999999999999996,DOGE
2017-12-30,2017-12-30,0.007860000245273113,56175300,0,0,-2,-2,-1.0,DOGE
2017-12-31,2017-12-31,0.00897200033068657,62256400,0,0,2,-2,-0.19999999999999996,DOGE
2018-01-01,2018-01-01,0.00890900008380413,50616900,0,0,-2,-2,-1.0,DOGE
2018-01-02,2018-01-02,0.009145000018179417,89424096,0,0,2,-2,-0.19999999999999996,DOGE
2018-01-03,2018-01-03,0.009320000186562538,66349900,0,0,2,-2,-0.19999999999999996,DOGE
2018-01-04,2018-01-04,0.009643999859690666,108986000,0,0,2,-2,-0.19999999999999996,DOGE
2018-01-05,2018-01-05,0.012167000211775303,212383008,0,-2,2,-2,-0.7999999999999999,DOGE
2018-01-06,2018-01-06,0.014863000251352787,283716992,2,-2,2,-2,-0.3999999999999999,DOGE
2018-01-07,2018-01-07,0.01708799973130226,288184000,2,-2,2,-2,-0.3999999999999999,DOGE
2018-01-08,2018-01-08,0.015045000240206718,235114000,0,0,-2,-2,-1.0,DOGE
2018-01-09,2018-01-09,0.013419999741017818,115255000,0,0,-2,-2,-1.0,DOGE
2018-01-10,2018-01-10,0.013101999647915363,100243000,0,0,-2,-2,-1.0,DOGE
2018-01-11,2018-01-11,0.011469000019133091,62722000,0,0,-2,-2,-1.0,DOGE
2018-01-12,2018-01-12,0.013055999763309956,56971300,0,0,2,-2,-0.19999999999999996,DOGE
2018-01-13,2018-01-13,0.013023000210523605,55890600,0,0,-2,-2,-1.0,DOGE
2018-01-14,2018-01-14,0.011683999560773373,65899000,0,0,-2,-2,-1.0,DOGE
2018-01-15,2018-01-15,0.009856999851763248,62765500,0,0,-2,-2,-1.0,DOGE
2018-01-16,2018-01-16,0.006821999792009592,68099200,0,0,-2,-2,-1.0,DOGE
2018-01-17,2018-01-17,0.007648000027984381,58846200,0,0,2,2,1.0,DOGE
2018-01-18,2018-01-18,0.00796900037676096,56599300,0,0,2,2,1.0,DOGE
2018-01-19,2018-01-19,0.007871000096201897,30335700,0,0,-2,2,0.19999999999999996,DOGE
2018-01-20,2018-01-20,0.008448000065982342,22974100,0,0,2,2,1.0,DOGE
2018-01-21,2018-01-21,0.0071310000494122505,22933100,-2,0,-2,2,-0.20000000000000007,DOGE
2018-01-22,2018-01-22,0.00673400005325675,19968600,0,0,-2,2,0.19999999999999996,DOGE
2018-01-23,2018-01-23,0.006672999821603298,17882700,0,0,-2,2,0.19999999999999996,DOGE
2018-01-24,2018-01-24,0.007083000149577856,17449900,0,0,2,2,1.0,DOGE
2018-01-25,2018-01-25,0.007666999939829111,21329400,0,0,2,2,1.0,DOGE
2018-01-26,2018-01-26,0.007236999925225973,19572300,0,0,-2,2,0.19999999999999996,DOGE
2018-01-27,2018-01-27,0.007373000029474497,11672900,0,0,2,2,1.0,DOGE
2018-01-28,2018-01-28,0.007464999798685312,14070700,0,0,2,2,1.0,DOGE
2018-01-29,2018-01-29,0.0069670001976192,13073100,0,0,-2,2,0.19999999999999996,DOGE
2018-01-30,2018-01-30,0.006023999769240618,15855900,0,0,-2,-2,-1.0,DOGE
2018-01-31,2018-01-31,0.006010000128298998,14754700,0,0,-2,-2,-1.0,DOGE
2018-02-01,2018-02-01,0.005028999876230955,18748700,0,0,-2,-2,-1.0,DOGE
2018-02-02,2018-02-02,0.004474999848753214,29913700,0,0,-2,-2,-1.0,DOGE
2018-02-03,2018-02-03,0.005164000205695629,18018100,0,0,2,-2,-0.19999999999999996,DOGE
2018-02-04,2018-02-04,0.004399000201374292,12961600,0,0,-2,-2,-1.0,DOGE
2018-02-05,2018-02-05,0.0035329998936504126,12489400,0,2,-2,-2,-0.4,DOGE
2018-02-06,2018-02-06,0.004360999912023544,19139100,0,0,2,-2,-0.19999999999999996,DOGE
2018-02-07,2018-02-07,0.004296999890357256,12990100,0,0,-2,-2,-1.0,DOGE
2018-02-08,2018-02-08,0.00456599984318018,9462680,0,0,2,-2,-0.19999999999999996,DOGE
2018-02-09,2018-02-09,0.004999999888241291,11190100,0,0,2,-2,-0.19999999999999996,DOGE
2018-02-10,2018-02-10,0.004989000037312508,16717300,0,0,-2,-2,-1.0,DOGE
2018-02-11,2018-02-11,0.00495600001886487,11309800,0,0,-2,-2,-1.0,DOGE
2018-02-12,2018-02-12,0.0054720002226531506,11124300,0,0,2,-2,-0.19999999999999996,DOGE
2018-02-13,2018-02-13,0.005638000089675188,14149700,0,0,2,-2,-0.19999999999999996,DOGE
