Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2017-11-29,2017-11-29,427.52301025390625,2675940096,0,0,-2,-2,-1.0,ETH
2017-11-30,2017-11-30,447.114013671875,1903040000,0,0,2,-2,-0.19999999999999996,ETH
2017-12-01,2017-12-01,466.5400085449219,1247879936,0,0,2,-2,-0.19999999999999996,ETH
2017-12-02,2017-12-02,463.4490051269531,943649984,0,0,-2,-2,-1.0,ETH
2017-12-03,2017-12-03,465.8529968261719,990556992,0,0,2,-2,-0.19999999999999996,ETH
2017-12-04,2017-12-04,470.2040100097656,1005550016,0,0,2,-2,-0.19999999999999996,ETH
2017-12-05,2017-12-05,463.281005859375,1216720000,0,0,-2,-2,-1.0,ETH
2017-12-06,2017-12-06,428.5880126953125,1998259968,0,0,-2,-2,-1.0,ETH
2017-12-07,2017-12-07,434.4079895019531,2129570048,0,0,2,-2,-0.19999999999999996,ETH
2017-12-08,2017-12-08,456.031005859375,2336379904,0,0,2,-2,-0.19999999999999996,ETH
2017-12-09,2017-12-09,473.50201416015625,2003849984,0,0,2,-2,-0.19999999999999996,ETH
2017-12-10,2017-12-10,441.72100830078125,1404179968,0,0,-2,-2,-1.0,ETH
2017-12-11,2017-12-11,515.135986328125,1771440000,0,-2,2,-2,-0.7999999999999999,ETH
2017-12-12,2017-12-12,651.4310302734375,5179829760,0,-2,2,-2,-0.7999999999999999,ETH
2017-12-13,2017-12-13,702.7670288085938,4524539904,2,-2,2,-2,-0.3999999999999999,ETH
2017-12-14,2017-12-14,695.8159790039062,3821580032,0,-2,-2,-2,-1.6,ETH
2017-12-15,2017-12-15,684.447998046875,2758710016,0,0,-2,-2,-1.0,ETH
2017-12-16,2017-12-16,696.208984375,2165690112,0,0,2,-2,-0.19999999999999996,ETH
2017-12-17,2017-12-17,719.9749755859375,2147389952,0,0,2,-2,-0.19999999999999996,ETH
2017-12-18,2017-12-18,794.64501953125,3249230080,2,0,2,-2,0.20000000000000007,ETH
2017-12-19,2017-12-19,826.822998046875,4096549888,2,0,2,-2,0.20000000000000007,ETH
2017-12-20,2017-12-20,819.0859985351562,3969939968,2,0,-2,-2,-0.6,ETH
2017-12-21,2017-12-21,821.06298828125,3569060096,2,0,2,-2,0.20000000000000007,ETH
2017-12-22,2017-12-22,674.8599853515625,4977710080,0,0,-2,-2,-1.0,ETH
2017-12-23,2017-12-23,719.3870239257812,2480339968,0,0,2,-2,-0.19999999999999996,ETH
2017-12-24,2017-12-24,694.1480102539062,2300549888,0,0,-2,-2,-1.0,ETH
2017-12-25,2017-12-25,765.833984375,2491760128,0,0,2,-2,-0.19999999999999996,ETH
2017-12-26,2017-12-26,773.8359985351562,2201159936,0,0,2,-2,-0.19999999999999996,ETH
2017-12-27,2017-12-27,762.8419799804688,2100029952,0,0,-2,-2,-1.0,ETH
2017-12-28,2017-12-28,737.0230102539062,2389149952,0,0,-2,-2,-1.0,ETH
2017-12-29,2017-12-29,753.5919799804688,2648969984,0,0,2,-2,-0.19999999999999996,ETH
2017-12-30,2017-12-30,717.2570190429688,3187780096,0,0,-2,-2,-1.0,ETH
2017-12-31,2017-12-31,756.7329711914062,2554269952,0,0,2,-2,-0.19999999999999996,ETH
2018-01-01,2018-01-01,772.6409912109375,2595760128,0,0,2,-2,-0.19999999999999996,ETH
2018-01-02,2018-01-02,884.4439697265625,5783349760,0,-2,2,-2,-0.7999999999999999,ETH
2018-01-03,2018-01-03,962.719970703125,5093159936,0,-2,2,-2,-0.7999999999999999,ETH
2018-01-04,2018-01-04,980.9219970703125,6502859776,0,-2,2,-2,-0.7999999999999999,ETH
2018-01-05,2018-01-05,997.719970703125,6683149824,2,-2,2,-2,-0.3999999999999999,ETH
