Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2017-11-29,2017-11-29,0.14525499939918518,5052720,0,2,-2,-2,-0.4,LINK
2017-11-30,2017-11-30,0.1704609990119934,4621870,0,0,2,-2,-0.19999999999999996,LINK
2017-12-01,2017-12-01,0.177823007106781,4352980,0,0,2,-2,-0.19999999999999996,LINK
2017-12-02,2017-12-02,0.20789800584316254,7396790,0,-2,2,-2,-0.7999999999999999,LINK
2017-12-03,2017-12-03,0.23062899708747864,8765840,0,-2,2,-2,-0.7999999999999999,LINK
2017-12-04,2017-12-04,0.22958099842071533,6981590,0,-2,-2,-2,-1.6,LINK
2017-12-05,2017-12-05,0.3138769865036011,12459200,0,-2,2,-2,-0.7999999999999999,LINK
2017-12-06,2017-12-06,0.2915700078010559,12387900,0,-2,-2,-2,-1.6,LINK
2017-12-07,2017-12-07,0.2600640058517456,6697780,0,0,-2,-2,-1.0,LINK
2017-12-08,2017-12-08,0.24522599577903748,4528570,0,0,-2,-2,-1.0,LINK
2017-12-09,2017-12-09,0.23885899782180786,3173600,0,0,-2,-2,-1.0,LINK
2017-12-10,2017-12-10,0.2528980076313019,3142570,0,0,2,-2,-0.19999999999999996,LINK
2017-12-11,2017-12-11,0.2605920135974884,7534170,0,0,2,-2,-0.19999999999999996,LINK
2017-12-12,2017-12-12,0.2314240038394928,10320200,0,0,-2,-2,-1.0,LINK
2017-12-13,2017-12-13,0.26187801361083984,10439800,0,0,2,-2,-0.19999999999999996,LINK
2017-12-14,2017-12-14,0.30850300192832947,16021700,0,0,2,-2,-0.19999999999999996,LINK
2017-12-15,2017-12-15,0.3207930028438568,13211800,0,0,2,-2,-0.19999999999999996,LINK
2017-12-16,2017-12-16,0.34139299392700195,13859700,0,0,2,-2,-0.19999999999999996,LINK
2017-12-17,2017-12-17,0.4175960123538971,20035600,0,-2,2,-2,-0.7999999999999999,LINK
2017-12-18,2017-12-18,0.4349069893360138,18220400,0,-2,2,-2,-0.7999999999999999,LINK
2017-12-19,2017-12-19,0.4393559992313385,13254800,0,-2,2,-2,-0.7999999999999999,LINK
2017-12-20,2017-12-20,0.3727959990501404,10481200,0,0,-2,-2,-1.0,LINK
2017-12-21,2017-12-21,0.42428699135780334,12030600,0,0,2,-2,-0.19999999999999996,LINK
2017-12-22,2017-12-22,0.4268780052661896,14979800,0,0,2,-2,-0.19999999999999996,LINK
2017-12-23,2017-12-23,0.5776799917221069,24055000,2,-2,2,-2,-0.3999999999999999,LINK
2017-12-24,2017-12-24,0.5441619753837585,15183200,0,0,-2,-2,-1.0,LINK
2017-12-25,2017-12-25,0.5019329786300659,7740550,0,0,-2,-2,-1.0,LINK
2017-12-26,2017-12-26,0.5214210152626038,10452900,0,0,2,-2,-0.19999999999999996,LINK
2017-12-27,2017-12-27,0.5055009722709656,6065390,0,0,-2,-2,-1.0,LINK
2017-12-28,2017-12-28,0.5066969990730286,5458410,0,0,2,-2,-0.19999999999999996,LINK
2017-12-29,2017-12-29,0.4863480031490326,5757530,0,0,-2,-2,-1.0,LINK
2017-12-30,2017-12-30,0.5861279964447021,9126190,0,0,2,-2,-0.19999999999999996,LINK
2017-12-31,2017-12-31,0.6015520095825195,9962080,0,0,2,-2,-0.19999999999999996,LINK
2018-01-01,2018-01-01,0.7335630059242249,11506300,0,-2,2,-2,-0.7999999999999999,LINK
2018-01-02,2018-01-02,0.6737120151519775,12671100,0,0,-2,-2,-1.0,LINK
2018-01-03,2018-01-03,0.6811670064926147,8620400,0,0,2,-2,-0.19999999999999996,LINK
2018-01-04,2018-01-04,0.9843680262565613,24679000,2,-2,2,-2,-0.3999999999999999,LINK
2018-01-05,2018-01-05,0.9074860215187073,23599300,0,-2,-2,-2,-1.6,LINK
2018-01-06,2018-01-06,1.0635700225830078,16319300,0,-2,2,-2,-0.7999999999999999,LINK
