Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2021-05-06,2021-05-06,1.9999999949504854e-06,27406652,0,0,0,-2,-0.6,SHIB
2021-05-07,2021-05-07,3.000000106112566e-06,367358434,2,0,2,-2,0.20000000000000007,SHIB
2021-05-08,2021-05-08,1.5999999959603883e-05,6118033567,2,-2,2,-2,-0.3999999999999999,SHIB
2021-05-09,2021-05-09,1.5999999959603883e-05,6171534719,2,-2,0,-2,-0.7999999999999999,SHIB
2021-05-10,2021-05-10,3.5000000934815034e-05,19546576207,2,-2,2,-2,-0.3999999999999999,SHIB
2021-05-11,2021-05-11,3.099999958067201e-05,9743912953,2,-2,-2,-2,-1.2000000000000002,SHIB
2021-05-12,2021-05-12,1.8000000636675395e-05,7320441816,0,0,-2,-2,-1.0,SHIB
2021-05-13,2021-05-13,2.099999983329326e-05,6879491005,0,0,2,-2,-0.19999999999999996,SHIB
2021-05-14,2021-05-14,1.8999999156221747e-05,2909604830,0,0,-2,-2,-1.0,SHIB
2021-05-15,2021-05-15,1.5999999959603883e-05,2607873205,0,0,-2,-2,-1.0,SHIB
2021-05-16,2021-05-16,1.8000000636675395e-05,3225440403,0,0,2,-2,-0.19999999999999996,SHIB
2021-05-17,2021-05-17,1.5999999959603883e-05,3466116394,0,0,-2,-2,-1.0,SHIB
2021-05-18,2021-05-18,1.5999999959603883e-05,1743302789,0,0,0,-2,-0.6,SHIB
2021-05-19,2021-05-19,9.000000318337698e-06,3271067996,0,0,-2,-2,-1.0,SHIB
2021-05-20,2021-05-20,9.999999747378752e-06,2507945867,0,0,2,-2,-0.19999999999999996,SHIB
2021-05-21,2021-05-21,7.999999979801942e-06,1547207565,0,0,-2,-2,-1.0,SHIB
2021-05-22,2021-05-22,7.999999979801942e-06,1229821215,0,0,0,-2,-0.6,SHIB
2021-05-23,2021-05-23,7.999999979801942e-06,1585032040,0,0,0,-2,-0.6,SHIB
2021-05-24,2021-05-24,1.1000000085914508e-05,2179651359,0,0,2,-2,-0.19999999999999996,SHIB
2021-05-25,2021-05-25,9.000000318337698e-06,1415340765,0,0,-2,-2,-1.0,SHIB
2021-05-26,2021-05-26,9.999999747378752e-06,994520516,0,0,2,-2,-0.19999999999999996,SHIB
