Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2020-04-30,2020-04-30,0.6910449862480164,5016892,0,0,-2,-2,-1.0,SOL
2020-05-01,2020-05-01,0.7287939786911011,4164272,0,0,2,-2,-0.19999999999999996,SOL
2020-05-02,2020-05-02,0.7158759832382202,3441356,0,0,-2,-2,-1.0,SOL
2020-05-03,2020-05-03,0.6795349717140198,3328344,0,0,-2,-2,-1.0,SOL
2020-05-04,2020-05-04,0.6674910187721252,3443698,0,0,-2,-2,-1.0,SOL
2020-05-05,2020-05-05,0.6418370008468628,2847469,0,0,-2,-2,-1.0,SOL
2020-05-06,2020-05-06,0.6225839853286743,2677563,0,0,-2,-2,-1.0,SOL
2020-05-07,2020-05-07,0.6129779815673828,3355830,0,0,-2,-2,-1.0,SOL
2020-05-08,2020-05-08,0.6049219965934753,2488195,0,0,-2,-2,-1.0,SOL
2020-05-09,2020-05-09,0.6045269966125488,2128503,0,0,-2,-2,-1.0,SOL
2020-05-10,2020-05-10,0.5370339751243591,2327581,0,2,-2,-2,-0.4,SOL
2020-05-11,2020-05-11,0.5152729749679565,2098481,0,2,-2,-2,-0.4,SOL
2020-05-12,2020-05-12,0.5385760068893433,2198625,0,0,2,-2,-0.19999999999999996,SOL
2020-05-13,2020-05-13,0.5505319833755493,2326446,0,0,2,-2,-0.19999999999999996,SOL
2020-05-14,2020-05-14,0.5691180229187012,2047897,0,0,2,-2,-0.19999999999999996,SOL
2020-05-15,2020-05-15,0.5597519874572754,1850070,-2,0,-2,-2,-1.4,SOL
2020-05-16,2020-05-16,0.599120020866394,2300409,0,0,2,-2,-0.19999999999999996,SOL
2020-05-17,2020-05-17,0.6129890084266663,2936428,0,0,2,-2,-0.19999999999999996,SOL
2020-05-18,2020-05-18,0.6526700258255005,3314359,0,0,2,-2,-0.19999999999999996,SOL
2020-05-19,2020-05-19,0.6244540214538574,2380263,0,0,-2,-2,-1.0,SOL
2020-05-20,2020-05-20,0.5791559815406799,2302926,0,0,-2,-2,-1.0,SOL
2020-05-21,2020-05-21,0.6089149713516235,2863017,0,0,2,-2,-0.19999999999999996,SOL
2020-05-22,2020-05-22,0.6388750076293945,3411419,0,0,2,-2,-0.19999999999999996,SOL
2020-05-23,2020-05-23,0.6130310297012329,2638524,0,0,-2,-2,-1.0,SOL
2020-05-24,2020-05-24,0.5490530133247375,2786816,0,0,-2,-2,-1.0,SOL
2020-05-25,2020-05-25,0.6008570194244385,4509580,0,0,2,-2,-0.19999999999999996,SOL
2020-05-26,2020-05-26,0.5733069777488708,2689697,0,0,-2,-2,-1.0,SOL
2020-05-27,2020-05-27,0.5909850001335144,2536916,0,0,2,-2,-0.19999999999999996,SOL
2020-05-28,2020-05-28,0.5751550197601318,2662788,0,0,-2,-2,-1.0,SOL
2020-05-29,2020-05-29,0.5794150233268738,2066857,0,0,2,-2,-0.19999999999999996,SOL
2020-05-30,2020-05-30,0.5879330039024353,2449095,0,0,2,-2,-0.19999999999999996,SOL
2020-05-31,2020-05-31,0.5700219869613647,1892967,0,0,-2,-2,-1.0,SOL
2020-06-01,2020-06-01,0.5774949789047241,2159877,0,0,2,-2,-0.19999999999999996,SOL
2020-06-02,2020-06-02,0.5646690130233765,1295757,0,0,-2,-2,-1.0,SOL
2020-06-03,2020-06-03,0.5866209864616394,877446,0,0,2,-2,-0.19999999999999996,SOL
2020-06-04,2020-06-04,0.5872989892959595,901641,0,0,2,-2,-0.19999999999999996,SOL
2020-06-05,2020-06-05,0.6611549854278564,4322092,0,-2,2,-2,-0.7999999999999999,SOL
2020-06-06,2020-06-06,0.6224430203437805,1604055,0,0,-2,-2,-1.0,SOL
2020-06-07,2020-06-07,0.6165779829025269,716785,0,0,-2,-2,-1.0,SOL
2020-06-08,2020-06-08,0.6683130264282227,1440234,0,-2,2,-2,-0.7999999999999999,SOL
2020-06-09,2020-06-09,0.6580020189285278,988327,0,0,-2,-2,-1.0,SOL
2020-06-10,2020-06-10,0.6448670029640198,1096203,0,0,-2,-2,-1.0,SOL
2020-06-11,2020-06-11,0.5737419724464417,1122221,0,0,-2,-2,-1.0,SOL
2020-06-12,2020-06-12,0.5938689708709717,940323,0,0,2,-2,-0.19999999999999996,SOL
2020-06-13,2020-06-13,0.608942985534668,764757,0,0,2,-2,-0.19999999999999996,SOL
2020-06-14,2020-06-14,0.5870770215988159,873416,0,0,-2,-2,-1.0,SOL
2020-06-15,2020-06-15,0.5706390142440796,942666,0,0,-2,-2,-1.0,SOL
2020-06-16,2020-06-16,0.5855759978294373,652020,0,0,2,-2,-0.19999999999999996,SOL
2020-06-17,2020-06-17,0.5815619826316833,673274,0,0,-2,-2,-1.0,SOL
2020-06-18,2020-06-18,0.6209560036659241,1349341,0,0,2,-2,-0.19999999999999996,SOL
2020-06-19,2020-06-19,0.684332013130188,6577471,0,-2,2,2,0.4,SOL
2020-06-20,2020-06-20,0.6435909867286682,1714405,0,0,-2,2,0.19999999999999996,SOL
2020-06-21,2020-06-21,0.6731489896774292,2238347,0,0,2,2,1.0,SOL
2020-06-22,2020-06-22,0.7268480062484741,1620388,0,-2,2,2,0.4,SOL
2020-06-23,2020-06-23,0.7082970142364502,1327340,0,0,-2,2,0.19999999999999996,SOL
2020-06-24,2020-06-24,0.7369940280914307,2769054,0,0,2,2,1.0,SOL
2020-06-25,2020-06-25,0.7131940126419067,1751581,0,0,-2,2,0.19999999999999996,SOL
2020-06-26,2020-06-26,0.7411440014839172,1664662,0,0,2,2,1.0,SOL
2020-06-27,2020-06-27,0.7135480046272278,1681428,0,0,-2,2,0.19999999999999996,SOL
2020-06-28,2020-06-28,0.7984949946403503,3412582,0,-2,2,2,0.4,SOL
2020-06-29,2020-06-29,0.8524540066719055,2147791,0,-2,2,2,0.4,SOL
2020-06-30,2020-06-30,0.8600940108299255,3887548,0,-2,2,2,0.4,SOL
2020-07-01,2020-07-01,0.8326420187950134,1772560,0,0,-2,2,0.19999999999999996,SOL
2020-07-02,2020-07-02,0.7802190184593201,1749581,0,0,-2,2,0.19999999999999996,SOL
2020-07-03,2020-07-03,0.7680929899215698,1144958,0,0,-2,2,0.19999999999999996,SOL
2020-07-04,2020-07-04,0.7803720235824585,1644301,0,0,2,2,1.0,SOL
2020-07-05,2020-07-05,0.6916639804840088,3799016,0,0,-2,2,0.19999999999999996,SOL
2020-07-06,2020-07-06,0.7079079747200012,1120773,0,0,2,2,1.0,SOL
2020-07-07,2020-07-07,0.7530480027198792,1700041,0,0,2,2,1.0,SOL
2020-07-08,2020-07-08,0.7967129945755005,2220223,0,0,2,2,1.0,SOL
2020-07-09,2020-07-09,0.8534529805183411,2668724,0,0,2,2,1.0,SOL
2020-07-10,2020-07-10,0.9135599732398987,1856095,0,-2,2,2,0.4,SOL
2020-07-11,2020-07-11,0.9246240258216858,1788814,0,-2,2,2,0.4,SOL
2020-07-12,2020-07-12,1.0167160034179688,4693371,0,-2,2,2,0.4,SOL
2020-07-13,2020-07-13,1.175734043121338,4062069,0,-2,2,2,0.4,SOL
2020-07-14,2020-07-14,1.148074984550476,2213135,0,-2,-2,2,-0.4,SOL
2020-07-15,2020-07-15,1.289597988128662,3355229,0,-2,2,2,0.4,SOL
2020-07-16,2020-07-16,0.8724409937858582,7486568,0,0,-2,2,0.19999999999999996,SOL
2020-07-17,2020-07-17,0.9778370261192322,8973774,0,0,2,2,1.0,SOL
2020-07-18,2020-07-18,0.9665830135345459,2923007,0,0,-2,2,0.19999999999999996,SOL
2020-07-19,2020-07-19,0.9203490018844604,2206671,0,0,-2,2,0.19999999999999996,SOL
2020-07-20,2020-07-20,0.8730890154838562,3036871,0,0,-2,2,0.19999999999999996,SOL
2020-07-21,2020-07-21,0.9771659970283508,4299502,0,0,2,2,1.0,SOL
2020-07-22,2020-07-22,1.0440870523452759,5295002,0,0,2,2,1.0,SOL
2020-07-23,2020-07-23,1.0498440265655518,2970423,0,0,2,2,1.0,SOL
2020-07-24,2020-07-24,0.9953460097312927,1991763,0,0,-2,2,0.19999999999999996,SOL
2020-07-25,2020-07-25,1.252223014831543,9978279,0,0,2,2,1.0,SOL
2020-07-26,2020-07-26,1.5651099681854248,10463130,0,-2,2,2,0.4,SOL
2020-07-27,2020-07-27,1.7786359786987305,32838355,0,-2,2,2,0.4,SOL
2020-07-28,2020-07-28,1.7840670347213745,9692632,0,-2,2,2,0.4,SOL
2020-07-29,2020-07-29,1.6582889556884766,10348945,0,0,-2,2,0.19999999999999996,SOL
2020-07-30,2020-07-30,1.6868070363998413,5222980,0,0,2,2,1.0,SOL
2020-07-31,2020-07-31,1.5381779670715332,4822046,0,0,-2,2,0.19999999999999996,SOL
2020-08-01,2020-08-01,1.526610016822815,4589882,0,0,-2,2,0.19999999999999996,SOL
2020-08-02,2020-08-02,1.7428100109100342,7216576,0,0,2,2,1.0,SOL
2020-08-03,2020-08-03,1.802610993385315,5836036,0,0,2,2,1.0,SOL
2020-08-04,2020-08-04,1.8716390132904053,5495665,0,0,2,2,1.0,SOL
2020-08-05,2020-08-05,1.7545499801635742,5405764,0,0,-2,2,0.19999999999999996,SOL
2020-08-06,2020-08-06,2.206347942352295,11143557,0,0,2,2,1.0,SOL
2020-08-07,2020-08-07,2.0859029293060303,8068102,0,0,-2,2,0.19999999999999996,SOL
2020-08-08,2020-08-08,2.4736249446868896,10919229,0,-2,2,2,0.4,SOL
2020-08-09,2020-08-09,2.6652278900146484,12107837,0,-2,2,2,0.4,SOL
2020-08-10,2020-08-10,3.1317930221557617,22863251,0,-2,2,2,0.4,SOL
2020-08-11,2020-08-11,3.3034191131591797,36356155,0,-2,2,2,0.4,SOL
2020-08-12,2020-08-12,3.7697510719299316,28461707,2,-2,2,2,0.8,SOL
2020-08-13,2020-08-13,3.7559709548950195,28236179,2,-2,-2,2,0.0,SOL
2020-08-14,2020-08-14,3.4093880653381348,18427950,2,0,-2,2,0.6,SOL
2020-08-15,2020-08-15,3.1837949752807617,13155762,0,0,-2,2,0.19999999999999996,SOL
2020-08-16,2020-08-16,3.385653018951416,10395313,0,0,2,2,1.0,SOL
2020-08-17,2020-08-17,3.0986080169677734,10723919,0,0,-2,2,0.19999999999999996,SOL
2020-08-18,2020-08-18,3.3299760818481445,30350145,0,0,2,2,1.0,SOL
2020-08-19,2020-08-19,2.899040937423706,14838389,0,0,-2,2,0.19999999999999996,SOL
2020-08-20,2020-08-20,3.2082669734954834,13756478,0,0,2,2,1.0,SOL
2020-08-21,2020-08-21,2.9436678886413574,11796736,0,0,-2,2,0.19999999999999996,SOL
2020-08-22,2020-08-22,3.020885944366455,10296805,0,0,2,2,1.0,SOL
2020-08-23,2020-08-23,3.3224310874938965,11991402,0,0,2,2,1.0,SOL
2020-08-24,2020-08-24,3.3449859619140625,15785208,0,0,2,2,1.0,SOL
2020-08-25,2020-08-25,3.264849901199341,13444308,0,0,-2,2,0.19999999999999996,SOL
2020-08-26,2020-08-26,3.5583748817443848,22147431,0,0,2,2,1.0,SOL
2020-08-27,2020-08-27,3.4450600147247314,21031356,0,0,-2,2,0.19999999999999996,SOL
2020-08-28,2020-08-28,4.011393070220947,27212888,0,-2,2,2,0.4,SOL
2020-08-29,2020-08-29,3.968808889389038,14585964,0,0,-2,2,0.19999999999999996,SOL
2020-08-30,2020-08-30,4.4358229637146,22220239,0,-2,2,2,0.4,SOL
2020-08-31,2020-08-31,4.782045841217041,20950150,0,-2,2,2,0.4,SOL
2020-09-01,2020-09-01,4.344515800476074,16944927,0,0,-2,2,0.19999999999999996,SOL
2020-09-02,2020-09-02,4.1644721031188965,23655802,0,0,-2,2,0.19999999999999996,SOL
2020-09-03,2020-09-03,3.5273399353027344,26473634,0,0,-2,2,0.19999999999999996,SOL
2020-09-04,2020-09-04,3.5457940101623535,17729340,0,0,2,2,1.0,SOL
2020-09-05,2020-09-05,2.5979158878326416,25062205,0,0,-2,2,0.19999999999999996,SOL
2020-09-06,2020-09-06,3.086042881011963,20375890,0,0,2,2,1.0,SOL
2020-09-07,2020-09-07,2.928528070449829,17135013,0,0,-2,2,0.19999999999999996,SOL
2020-09-08,2020-09-08,2.4689769744873047,10163725,0,0,-2,2,0.19999999999999996,SOL
2020-09-09,2020-09-09,3.636378049850464,52354542,0,0,2,2,1.0,SOL
2020-09-10,2020-09-10,3.469836950302124,31177875,0,0,-2,2,0.19999999999999996,SOL
2020-09-11,2020-09-11,3.4274280071258545,17090627,0,0,-2,2,0.19999999999999996,SOL
2020-09-12,2020-09-12,3.332659959793091,10368518,0,0,-2,2,0.19999999999999996,SOL
